party,candidacies,distinct_label_tuples,labels
Alliance,1757,2,other ; pro-union
Aontú,136,1,nationalist|pro-unity|republican
DUP,2751,1,unionist|pro-union
NI Unionist Party,4,1,unionist|pro-union
Nationalist Party,216,1,nationalist|pro-unity
Nationalist Party (Northern Ireland),24,1,nationalist|pro-unity
Northern Ireland Unionist Party,8,1,unionist|pro-union
PBP,108,1,pro-unity|republican
PUP,197,1,unionist|pro-union
SDLP,2438,1,nationalist|pro-unity
Sinn Féin,2505,1,nationalist|pro-unity|republican
TUV,264,1,unionist|pro-union
UK Unionist Party,22,1,unionist|pro-union
UKUP,53,1,unionist|pro-union
UUP,4106,1,unionist|pro-union
UUUP,13,1,unionist|pro-union
Ulster Popular Unionist Party,38,1,unionist|pro-union
Unionist Party of Northern Ireland,54,1,unionist|pro-union
Vanguard Unionist Progressive Party,95,1,unionist|pro-union
