rowId,title,provider,originalAction,recommendedNextAction,confidence,sourcePageType,topic,formats,bytes,coverage,proposedPlacement,sourceVisibility,browseTreatment,publicationBlocker,rationale,strongestExistingMatch,provenanceSummary,downloadSummary,reviewerInstruction
source-doc-00396-2020-based-interim-population-projections-for-northern-ireland,2020-based Interim Population Projections for Northern Ireland,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,14321786,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | mid-2020-based-population-projections-for-northern-ireland-principal-projection.csv | mid-2018-based-population-projection-for-northern-ireland-high-population.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03507-anti-social-behaviour-incidents-recorded-by-the-police-in-northern-ireland,Anti-Social Behaviour Incidents Recorded by the Police in Northern Ireland,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,source-reference,general-reference,gml; csv; pdf,405810,Northern Ireland,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,anti-social-behaviour-data-guide.pdf | anti-social-behaviour-monthly-data.csv | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-01350-budget,Budget,data.gov.ie,hold,publish table/source now; defer interactive map,medium-high,source-reference,general-reference,shp; kml; csv,739275,unknown,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,data.gov.ie,csv | kml | shapefile | csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-02164-e2019-population-and-representatives-assigned-to-each-municipal-district-2016,E2019 - Population and Representatives Assigned to Each Municipal District 2016,data.gov.ie,hold,publish table/source now; defer interactive map,medium-high,table,census,shp; gpkg; csv,905863,Republic of Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,data.gov.ie,csv | filegdb | geoPackage | shapefile,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00397-estimates-of-the-population-aged-85-and-over-northern-ireland,"Estimates of the Population Aged 85 and Over, Northern Ireland",Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,census,gml; csv,262103,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | aged-85-and-over-by-single-year-of-age-and-gender-2020.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03527-household-projections-for-northern-ireland-2016-based,Household Projections for Northern Ireland: 2016-based,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,general-reference,gml; csv,25720067,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | household-projections-by-size-lgd2014.csv | household-projections-by-type-lgd2014.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-00720-licensed-bus-operators-in-northern-ireland,Licensed Bus Operators in Northern Ireland,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,transport,gml; csv; xlsx,463003,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,licensed-bus-operators-at-30-june-2024.xlsx | licensed-bus-operators-at-30-june-2025.xlsx | licensed-bus-operators-at-30-september-2024.xlsx | licensed-bus-operators-at-30-september-2025.xlsx,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03534-materials-collected-at-northern-ireland-local-authority-waste-management-sites-t,Materials collected for preparation for reuse and recycling including composting at NI civic amenity sites - Time Series Data,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,source-reference,general-reference,gml; csv; pdf,666031,Northern Ireland,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,lac-municipal-waste-timeseries-csv.csv | lac-municipal-waste-timeseries.pdf | transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-05969-multi-story-car-parking-space-availability,Multistorey Car Parking Space Availability DCC,data.gov.ie,hold,publish table/source now; defer interactive map,medium-high,source-reference,general-reference,shp; geojson; csv; xlsx,10740,unknown,Browse/Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,data.gov.ie,csv | geojson | shapefile | car_parks_location.26052021.xlsx,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
source-doc-03546-northern-ireland-civil-service-employment-statistics,Northern Ireland Civil Service Employment Statistics,Open Data NI,hold,publish table/source now; defer interactive map,medium-high,table,economy,gml; csv,225670,Northern Ireland,Browse/Tables plus Sources,browse-visible after approval,Publish as a source/table with downloads and provenance; create interactive PMTiles later only after semantic/geography checks.,semantic/geography staging before map conversion,"Small supported spatial/table formats are present, but the content is statistical/source data where table semantics matter before interactive-map promotion.",,Open Data NI,transitionalwaterbodiesgml.zip | transitionalwaterbodiesshp.zip | employment-in-nics-april-2017-tables-1a-3b-csv.csv | employment-in-nics-april-2018-tables-1a-3a-csv.csv,Approve table/source publication first; open a separate map-conversion ticket only after geography/semantic QA.
