sourceRowId,electionId,mergeStatus,targetPath,sourceCandidateName,proposedCandidateName,recommendedNextStep
election-source-00010-general-election-2016-count-details:row:23,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/0,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:24,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/1,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:25,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/2,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:26,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/3,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:27,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/4,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:28,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/5,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:29,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/6,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:30,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/7,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:31,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/8,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:3742,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/5,,,Use as evidence for approval; do not merge automatically.
election-source-00010-general-election-2016-count-details:row:3743,dail-eireann__2016-02-26,blocked-by-candidate-alias-review,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/6,,,Use as evidence for approval; do not merge automatically.
