itemId,title,phase,recommendedUploadAction,target,reason,estimatedBytes,format,blocker
approved-publication:source-doc-03970-2021-22-annual-report-and-accounts-nisra-department-of-finance,2021 22 Annual Report and Accounts NISRA Department of Finance,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03972-2024-25-20annual-20report-20and-20accounts-20-20nisra,2024 25%20Annual%20Report%20and%20Accounts%20 %20NISRA,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04267-3d-data-hack-started-guides,3D Data Hack Docklands Model Starter Guides,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04324-waste-data-aes-bord-na-mona,AES Bord na Móna Green Waste Report DCC,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04325-agricultural-data-report,Agricultural Data Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04331-annualreport2023,Annual Report 2023,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-01056-audit-report,Audit Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-01306-ballitore-tanyard-conservation-architect-s-report,Ballitore Tanyard Conservation Architect’s Report,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03994-bee-manufacturing-publication-2014-headline-results-2,BEE Manufacturing Publication 2014 Headline results 2,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03995-bee-manufacturing-publication-2014-statistical-press-release,BEE Manufacturing Publication 2014 Statistical Press Release,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03996-beses-goods-and-services-publication-2019,BESES Goods and Services Publication 2019,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-03997-beses-goods-services-publication-2014-headline-results-pdf,BESES Goods Services Publication 2014 Headline results pdf,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04003-beses-publication-2015-headline-results-pdf-1-0,BESES Publication 2015 Headline results pdf 1 0,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04005-beses-publication-2017-headline-results,BESES Publication 2017 Headline results,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04009-beses-purchases-and-imports-publication-2017,BESES Purchases and imports Publication 2017,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04010-beses-purchases-and-imports-publication-2018-1,BESES Purchases and imports Publication 2018 1,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04011-beses-purchases-and-imports-publication-2019-0,BESES Purchases and imports Publication 2019 0,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04012-beses-trade-in-goods-and-services-publication-2020-0,BESES Trade in Goods and Services Publication 2020 0,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
approved-publication:source-doc-04013-beses-20purchases-20and-20imports-20publication-202016-20-20headline-20results,BESES%20Purchases%20and%20imports%20Publication%202016%20 %20Headline%20results,approved-source-record,none,external/source metadata only,Approved record uses Browse/source metadata and existing external/source download references; no R2 object is required in this branch.,,,
