reviewId,electionId,sourceConstituency,sourceCandidateName,sourceRowCount,currentClassification,confidence,proposedAction,recommendationBand,evidenceStrength,proposedAlias,proposedCanonicalConstituency,proposedCandidateName,proposedCandidateId,proposedParty,exactMergeTarget,alternativeSummary,reason,reviewerInstruction,sourceRowIds
dail-candidate-dail-eireann-2020-02-08-limerick-county-seighin-oceallaigh,dail-eireann__2020-02-08,Limerick County,Seighin O'Ceallaigh,6,probable match,0.9867,approve alias after spot-check,probable-safe,high,Seighin O'Ceallaigh -> Seighin O Ceallaigh,Limerick,Seighin O Ceallaigh,3,Sinn Féin,test/metadata/elections-test2/dail-eireann__2020-02-08.json#/results/26/candidates/2,"Eoghan O Ceannabháin (Solidarity-PBP, Dublin Rathdown, 0.4133) | Aengus O Snodaigh (Sinn Féin, Dublin South Central, 0.3898) | Aengus Ó Maoláin (Social Democrats, Dublin West, 0.3898)","The candidate is in the same/aliased constituency, the match confidence is high, and alternatives are weak.",Approve as an alias unless a source check shows this is a distinct candidate.,election-source-00011-general-election-2020-count-details:row:3425; election-source-00011-general-election-2020-count-details:row:3426; election-source-00011-general-election-2020-count-details:row:3427; election-source-00011-general-election-2020-count-details:row:3428; election-source-00011-general-election-2020-count-details:row:3429; election-source-00011-general-election-2020-count-details:row:3430
dail-candidate-dail-eireann-2016-02-26-clare-andres-siro-hakizimana,dail-eireann__2016-02-26,Clare,Andres Siro Hakizimana,12,probable match,0.9147,approve alias after spot-check,probable-safe,high,Andres Siro Hakizimana -> Andre Sibo Hakizimana,Clare,Andre Sibo Hakizimana,15,Independent,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/2/candidates/14,"Aindrias Moynihan (Fianna Fáil, Cork North West, 0.288) | Andrew Keegan (PBP, Dublin North West, 0.288) | Niamh O'Brien (Non party/Fis Nua, Clare, 0.26)","The candidate is in the same/aliased constituency, the match confidence is high, and alternatives are weak.",Approve as an alias unless a source check shows this is a distinct candidate.,election-source-00010-general-election-2016-count-details:row:5226; election-source-00010-general-election-2016-count-details:row:5227; election-source-00010-general-election-2016-count-details:row:5228; election-source-00010-general-election-2016-count-details:row:5229; election-source-00010-general-election-2016-count-details:row:5230; election-source-00010-general-election-2016-count-details:row:5231; election-source-00010-general-election-2016-count-details:row:5232; election-source-00010-general-election-2016-count-details:row:5233; election-source-00010-general-election-2016-count-details:row:5234; election-source-00010-general-election-2016-count-details:row:5235; election-source-00010-general-election-2016-count-details:row:5236; election-source-00010-general-election-2016-count-details:row:5237
dail-candidate-dail-eireann-2020-02-08-mayo-daith-fallamhin,dail-eireann__2020-02-08,Mayo,Daith  Fallamhín,7,needs human decision,0.7133,approve encoding alias,encoding-cleanup,high,Daith  Fallamhín -> Daithí Ó Fallamhái,Mayo,Daithí Ó Fallamhái,12,Irish Freedom Party,test/metadata/elections-test2/dail-eireann__2020-02-08.json#/results/30/candidates/11,"Bláithin Gallagher (Green, Sligo Leitrim, 0.3812) | Micheál Martin (Fianna Fáil, Cork South Central, 0.36) | Pat Gallagher (Fianna Fáil, Donegal, 0.36)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00011-general-election-2020-count-details:row:3839; election-source-00011-general-election-2020-count-details:row:3840; election-source-00011-general-election-2020-count-details:row:3841; election-source-00011-general-election-2020-count-details:row:3842; election-source-00011-general-election-2020-count-details:row:3843; election-source-00011-general-election-2020-count-details:row:3844; election-source-00011-general-election-2020-count-details:row:3845
dail-candidate-dail-eireann-2016-02-26-tipperary-samus-san-morris,dail-eireann__2016-02-26,Tipperary,SÉmus SÉn Morris,7,needs human decision,0.6876,approve encoding alias,encoding-cleanup,medium,SÉmus SÉn Morris -> Seamus Morris,Tipperary,Seamus Morris,8,Sinn Féin,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7,"Simon Harris (Fine Gael, Wicklow, 0.36) | Martin Ferris (Sinn Féin, Kerry, 0.3086) | James Bannon (Fine Gael, Longford Westmeath, 0.3086)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:3742; election-source-00010-general-election-2016-count-details:row:3743; election-source-00010-general-election-2016-count-details:row:3744; election-source-00010-general-election-2016-count-details:row:3745; election-source-00010-general-election-2016-count-details:row:3746; election-source-00010-general-election-2016-count-details:row:3747; election-source-00010-general-election-2016-count-details:row:3748
dail-candidate-dail-eireann-2016-02-26-galway-east-mirad-n-chrinn,dail-eireann__2016-02-26,Galway East,MírÉd N ChrínN,7,needs human decision,0.6816,approve encoding alias,encoding-cleanup,medium,MírÉd N ChrínN -> Mairead Ni Chroinin,Galway East,Mairead Ni Chroinin,9,Green,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/20/candidates/8,"Niamh O'Brien (Non party/Fis Nua, Clare, 0.3933) | Ciaran Cannon (Fine Gael, Galway East, 0.38) | Lorraine Higgins (Irish Labour, Galway East, 0.368)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:3986; election-source-00010-general-election-2016-count-details:row:3987; election-source-00010-general-election-2016-count-details:row:3988; election-source-00010-general-election-2016-count-details:row:3989; election-source-00010-general-election-2016-count-details:row:3990; election-source-00010-general-election-2016-count-details:row:3991; election-source-00010-general-election-2016-count-details:row:3992
dail-candidate-dail-eireann-2016-02-26-cavan-monaghan-caoimhghn-caolin,dail-eireann__2016-02-26,Cavan Monaghan,CaoimhghN  Caolín,10,needs human decision,0.68,approve encoding alias,encoding-cleanup,medium,CaoimhghN  Caolín -> Caoimhghin O Caolain,Cavan Monaghan,Caoimhghin O Caolain,2,Sinn Féin,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/1/candidates/1,"Mary Hanafin (Fianna Fáil, Dun Laoghaire, 0.288) | Cormac Devlin (Fianna Fáil, Dun Laoghaire, 0.288) | Ciaran Cannon (Fine Gael, Galway East, 0.288)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:4108; election-source-00010-general-election-2016-count-details:row:4109; election-source-00010-general-election-2016-count-details:row:4110; election-source-00010-general-election-2016-count-details:row:4111; election-source-00010-general-election-2016-count-details:row:4112; election-source-00010-general-election-2016-count-details:row:4113; election-source-00010-general-election-2016-count-details:row:4114; election-source-00010-general-election-2016-count-details:row:4115; election-source-00010-general-election-2016-count-details:row:4116; election-source-00010-general-election-2016-count-details:row:4117
dail-candidate-dail-eireann-2016-02-26-kildare-south-sen-fearghal,dail-eireann__2016-02-26,Kildare South,SeN  FearghaL,6,needs human decision,0.6457,approve encoding alias,encoding-cleanup,medium,SeN  FearghaL -> Seán Ó Fearghaíl,Kildare South,Seán Ó Fearghaíl,3,Fianna Fáil,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/24/candidates/2,"Seán Haughey (Fianna Fáil, Dublin Bay North, 0.3273) | Seán O Buachalla (Green, Meath East, 0.3086) | Bernie Hughes (Independent, Dublin North West, 0.3)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:4132; election-source-00010-general-election-2016-count-details:row:4133; election-source-00010-general-election-2016-count-details:row:4134; election-source-00010-general-election-2016-count-details:row:4135; election-source-00010-general-election-2016-count-details:row:4136; election-source-00010-general-election-2016-count-details:row:4137
dail-candidate-dail-eireann-2016-02-26-cork-south-central-donnchadh-uinseann-laoghaire,dail-eireann__2016-02-26,Cork South Central,Donnchadh Uinseann  Laoghaire,11,needs human decision,0.6441,approve encoding alias,encoding-cleanup,medium,Donnchadh Uinseann  Laoghaire -> Donnchach O Laoghaire,Cork South Central,Donnchach O Laoghaire,4,Sinn Féin,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/6/candidates/3,"Micheál Mac Donncha (Sinn Féin, Dublin Bay North, 0.3026) | Michael Mohally (Independent, Cork South Central, 0.3015) | Michael McGrath (Fianna Fáil, Cork South Central, 0.2738)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:4149; election-source-00010-general-election-2016-count-details:row:4150; election-source-00010-general-election-2016-count-details:row:4151; election-source-00010-general-election-2016-count-details:row:4152; election-source-00010-general-election-2016-count-details:row:4153; election-source-00010-general-election-2016-count-details:row:4154; election-source-00010-general-election-2016-count-details:row:4155; election-source-00010-general-election-2016-count-details:row:4156; election-source-00010-general-election-2016-count-details:row:4157; election-source-00010-general-election-2016-count-details:row:4158; election-source-00010-general-election-2016-count-details:row:4159
dail-candidate-dail-eireann-2020-02-08-dun-laoghaire-mairad-tibn,dail-eireann__2020-02-08,Dun Laoghaire,MairÉd TíbN,8,needs human decision,0.6338,approve encoding alias,encoding-cleanup,medium,MairÉd TíbN -> Mairéad Tóibín,Dun Laoghaire,Mairéad Tóibín,11,Aontú,test/metadata/elections-test2/dail-eireann__2020-02-08.json#/results/19/candidates/10,"Mairéad Ruane (Aontú, Cork South West, 0.42) | Mary Hanafin (Fianna Fáil, Dun Laoghaire, 0.3418) | Mairéad Farrell (Sinn Féin, Galway West, 0.3086)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00011-general-election-2020-count-details:row:2531; election-source-00011-general-election-2020-count-details:row:2532; election-source-00011-general-election-2020-count-details:row:2533; election-source-00011-general-election-2020-count-details:row:2534; election-source-00011-general-election-2020-count-details:row:2535; election-source-00011-general-election-2020-count-details:row:2536; election-source-00011-general-election-2020-count-details:row:2537; election-source-00011-general-election-2020-count-details:row:2538
dail-candidate-dail-eireann-2016-02-26-dublin-bay-north-aodhn-rordin,dail-eireann__2016-02-26,Dublin Bay North,AodhN  RÓrdín,15,needs human decision,0.608,approve encoding alias,encoding-cleanup,medium,AodhN  RÓrdín -> Aodhán Ó Ríordáin,Dublin Bay North,Aodhán Ó Ríordáin,4,Irish Labour,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/9/candidates/3,"Ann Norton (Independent, Clare, 0.3273) | Joe Harris (Independent, Cork South Central, 0.3273) | Eoin O Broin (Sinn Féin, Dublin Mid West, 0.3273)",The source text contains mojibake/encoding damage and points to an accented live candidate in the same/aliased constituency.,Approve if the source row is just corrupted text for the proposed canonical candidate.,election-source-00010-general-election-2016-count-details:row:4189; election-source-00010-general-election-2016-count-details:row:4190; election-source-00010-general-election-2016-count-details:row:4191; election-source-00010-general-election-2016-count-details:row:4192; election-source-00010-general-election-2016-count-details:row:4193; election-source-00010-general-election-2016-count-details:row:4194; election-source-00010-general-election-2016-count-details:row:4195; election-source-00010-general-election-2016-count-details:row:4196; election-source-00010-general-election-2016-count-details:row:4197; election-source-00010-general-election-2016-count-details:row:4198; election-source-00010-general-election-2016-count-details:row:4199; election-source-00010-general-election-2016-count-details:row:4200; election-source-00010-general-election-2016-count-details:row:4201; election-source-00010-general-election-2016-count-details:row:4202; election-source-00010-general-election-2016-count-details:row:4203
