patchId,sourceRowId,electionId,tableKind,patchKind,targetPath,applyStatus,approvalBlocker,availableFields,missingRequestedFields,recommendedNextStep
dail-patch-election-source-00010-general-election-2016-count-details-row-23,election-source-00010-general-election-2016-count-details:row:23,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/0,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-24,election-source-00010-general-election-2016-count-details:row:24,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/1,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-25,election-source-00010-general-election-2016-count-details:row:25,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/2,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-26,election-source-00010-general-election-2016-count-details:row:26,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/3,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-27,election-source-00010-general-election-2016-count-details:row:27,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/4,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-28,election-source-00010-general-election-2016-count-details:row:28,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-29,election-source-00010-general-election-2016-count-details:row:29,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-30,election-source-00010-general-election-2016-count-details:row:30,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/7,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-31,election-source-00010-general-election-2016-count-details:row:31,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/37/candidates/11/counts/8,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3742,election-source-00010-general-election-2016-count-details:row:3742,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/5,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
dail-patch-election-source-00010-general-election-2016-count-details-row-3743,election-source-00010-general-election-2016-count-details:row:3743,dail-eireann__2016-02-26,count-details,candidate-count-and-transfer-provenance,test/metadata/elections-test2/dail-eireann__2016-02-26.json#/results/36/candidates/7/counts/6,hold-pending-candidate-alias-approval,candidate-alias-review,[object Object],turnout; spoiled; electorate; gender,Apply only after the corresponding Dail remaining match recommendation is approved.
