bundleId,recommendedNextAction,provider,topic,proposedPlacement,rowCount,totalBytes,sampleTitles,rowIds
remaining-cat3-001,publish table/source now; defer interactive map,Open Data NI,census,Browse/Tables plus Sources,6,82451935,"2020-based Interim Population Projections for Northern Ireland | Estimates of the Population Aged 85 and Over, Northern Ireland | Population Estimates for District Electoral Areas (DEAs) in Northern Ireland | Population Estimates for Northern Ireland | Population Estimates for Super Output Areas (SOAs) and former Electoral Wards, Northern Ireland | Population Projections for areas within Northern Ireland: 2018-based",source-doc-00396-2020-based-interim-population-projections-for-northern-ireland; source-doc-00397-estimates-of-the-population-aged-85-and-over-northern-ireland; source-doc-00001-population-estimates-for-district-electoral-areas-deas-in-northern-ireland; source-doc-00402-population-estimates-for-northern-ireland; source-doc-00004-population-estimates-for-super-output-areas-soas-and-electoral-wards-northern-ir; source-doc-00403-population-projections-for-areas-within-northern-ireland-2018-based
remaining-cat3-002,publish table/source now; defer interactive map,Open Data NI,general-reference,Browse/Sources,2,1071841,Anti-Social Behaviour Incidents Recorded by the Police in Northern Ireland | Materials collected for preparation for reuse and recycling including composting at NI civic amenity sites - Time Series Data,source-doc-03507-anti-social-behaviour-incidents-recorded-by-the-police-in-northern-ireland; source-doc-03534-materials-collected-at-northern-ireland-local-authority-waste-management-sites-t
remaining-cat3-003,publish table/source now; defer interactive map,data.gov.ie,general-reference,Browse/Sources,3,3002570,Budget | Multistorey Car Parking Space Availability DCC | Performance of certain residential retrofit schemes,source-doc-01350-budget; source-doc-05969-multi-story-car-parking-space-availability; source-doc-06107-performance-of-certain-residential-retrofit-schemes
remaining-cat3-004,publish table/source now; defer interactive map,data.gov.ie,census,Browse/Tables plus Sources,1,905863,E2019 - Population and Representatives Assigned to Each Municipal District 2016,source-doc-02164-e2019-population-and-representatives-assigned-to-each-municipal-district-2016
remaining-cat3-005,publish table/source now; defer interactive map,Open Data NI,general-reference,Browse/Tables plus Sources,2,28536154,Household Projections for Northern Ireland: 2016-based | Northern Ireland Goods Vehicle Operator's Licence Records,source-doc-03527-household-projections-for-northern-ireland-2016-based; source-doc-00744-northern-ireland-goods-vehicle-operators-licence-records
remaining-cat3-006,publish table/source now; defer interactive map,Open Data NI,transport,Browse/Tables plus Sources,3,90915105,Licensed Bus Operators in Northern Ireland | Northern Ireland Road Safety Partnership 2011-2019 | Northern Ireland Road Safety Partnership statistics 2020-2024,source-doc-00720-licensed-bus-operators-in-northern-ireland; source-doc-00745-northern-ireland-road-safety-partnership-2011-2021; source-doc-00746-northern-ireland-road-safety-partnership-statistics-2020-2024
remaining-cat3-007,publish table/source now; defer interactive map,Open Data NI,economy,Browse/Tables plus Sources,1,225670,Northern Ireland Civil Service Employment Statistics,source-doc-03546-northern-ireland-civil-service-employment-statistics
remaining-cat3-008,publish table/source now; defer interactive map,Open Data NI,administrative-geography,Browse/Tables plus Sources,1,1215675,Northern Ireland Local Authority Collected Municipal Waste Management Statistics,source-doc-03547-northern-ireland-local-authority-collected-municipal-waste-management-statistics
remaining-cat3-009,publish table/source now; defer interactive map,Open Data NI,environment,Browse/Sources,1,3167169,Northern Ireland Water - Consented Wastewater Results,source-doc-03552-northern-ireland-water-consented-wastewater-results
remaining-cat3-010,merge as variant or citation for existing record,data.gov.ie,general-reference,Browse/Sources,1,0,Derelict Sites Register,source-doc-02138-derelict-sites-register
remaining-cat3-011,merge as variant or citation for existing record,data.gov.ie,general-reference,Browse/Tables plus Sources,1,0,Parking,source-doc-06104-parking
remaining-cat3-012,probable variant - user approval required,Open Data NI,general-reference,Browse/Tables plus Sources,2,0,Belfast Community Centres | Drainage Assets,source-doc-03514-community-centres; source-doc-00741-drainage-asset
remaining-cat3-013,probable variant - user approval required,data.gov.ie,general-reference,Browse/Sources,1,0,"FSC, DAC, Dispensation & Relaxation Applications Data 2020 – Present",source-doc-05230-applications
remaining-cat3-014,probable variant - user approval required,Open Data NI,health,Browse/Tables plus Sources,1,0,Health Trust Reference Costs 2014-15,source-doc-00845-health
remaining-cat3-015,probable variant - user approval required,Open Data NI,transport,Browse/Books plus Sources,1,0,Open Data Innovation and Outreach Fund Final Report,source-doc-03553-report
remaining-cat3-016,citation-only source page,NISRA,general-reference,Sources,4,0,CPDJan2026access | CPDJan2026csv | CPDJan2026txt | LFS Claimant Count Oct 2021 ODS,source-doc-04018-cpdjan2026access; source-doc-04019-cpdjan2026csv; source-doc-04020-cpdjan2026txt; source-doc-04056-lfs-claimant-count-oct-2021-ods
