con,rel__Catholic,rel__Protestant and Other Christian (including Christian rel,rel__Other religions,rel__None,natid__British only,natid__Irish only,natid__Northern Irish only,natid__British and Irish only,natid__British and Northern Irish only,natid__Irish and Northern Irish only,"natid__British, Irish and Northern Irish only",natid__Other,pass__United Kingdom only,pass__Ireland only,pass__United Kingdom and Ireland only,pass__United Kingdom and other (not Ireland),pass__Ireland and other (not United Kingdom),"pass__United Kingdom, Ireland and other",pass__Other only (not United Kingdom or Ireland),pass__No passport,"irish__Understands but does not read, write or speak Irish",irish__Speaks but does not read or write Irish,irish__Speaks and reads but does not write Irish,"irish__Speaks, reads, writes and understands Irish",irish__Other combination of skills,irish__No ability in Irish,irish__No code required,ten__Owner occupied: Owns outright,ten__Owner occupied: Owns with a mortgage or loan or shared ,ten__Social rented: Northern Ireland Housing Executive,ten__Social rented: Housing association or charitable trust,ten__Private rented: Private landlord or letting agency,ten__Private rented: Other private rented,ten__Lives rent free,ten__No code required,"nssec__L1, L2, L3: Higher managerial, administrative and pro","nssec__L4, L5, L6: Lower managerial, administrative and prof",nssec__L7: Intermediate occupations,"nssec__L8, L9: Small employers and own account workers","nssec__L10, L11: Lower supervisory and technical occupations",nssec__L12: Semi-routine occupations,nssec__L13: Routine occupations,"nssec__L14.1, L14.2: Never worked and long-term unemployed",nssec__L15: Full-time students,nssec__No code required,qual__No qualifications,"qual__Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 ","qual__Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (pass",qual__Apprenticeship,"qual__Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ ","qual__Level 4 and above: Degree (BA, BSc), foundation degree","qual__Other: Other qualifications, equivalent unknown",qual__No code required,econ__Economically active: Employee (including full-time stu,econ__Economically active: Self-employed (including full-tim,econ__Economically active: Unemployed (including full-time s,econ__Economically inactive: Retired,econ__Economically inactive: Student,econ__Economically inactive: Looking after home or family,econ__Economically inactive: Long-term sick or disabled,econ__Economically inactive: Other,econ__No code required,age__0-15 years,age__16-24 years,age__25-34 years,age__35-44 years,age__45-54 years,age__55-64 years,age__65+ years,sex__Female,sex__Male,hlth__Very good health,hlth__Good health,hlth__Fair health,hlth__Bad health,hlth__Very bad health,cob__Europe: United Kingdom: Northern Ireland,cob__Europe: United Kingdom: England,cob__Europe: United Kingdom: Scotland,cob__Europe: United Kingdom: Wales,cob__Europe: Republic of Ireland,cob__Europe: Other EU countries,cob__Europe: Other Non-EU countries,cob__Africa,cob__Middle East and Asia,"cob__North America, Central America and Caribbean",cob__South America,"cob__Antarctica, Oceania and Other"
BELFAST EAST,16.64246538491281,63.584505529134276,2.5292999362022965,17.24373374125198,43.302270453930326,8.96694021381897,20.105569288172294,0.6658708289834898,12.55746635154468,1.5771159861578314,2.6561898561651773,10.168539177589606,62.37811192630399,10.37017836291227,6.9482150175927,0.6397979352743302,0.17193619263039867,0.1034501894598461,6.9488062966399875,12.439463084328962,2.044433389397982,0.6852938657541662,0.2657214166956656,1.492377817731895,0.544988458415497,91.4956859413061,3.4714658875613806,24.453327958860147,37.85411992034953,11.944000608978076,5.999952306383637,16.650376077794533,0.8553214050960832,1.274600810037505,0.968329089819433,11.305035891041257,17.689842999652008,10.950210938406215,5.203287563314388,3.987840815063991,9.900767225379886,9.79775095696555,7.456604405908053,4.909905975718207,18.798707410199896,17.13943982716622,4.924132989212389,10.221362399953602,4.762061564783668,11.529539003595872,30.7664339693771,1.8449465549240227,18.81214875497815,42.38195209372462,5.356406101380351,2.274857692456405,16.363391195916947,3.3743323957004216,3.4529480048718244,5.678591675366354,2.3143979430073855,18.803146270734253,18.81030452770367,8.727741019989947,15.73026580443104,14.494528486641148,13.241786480686695,12.481107209140472,16.514314078026526,51.55169665158721,48.44830334841279,47.61627041526505,29.946703794996715,14.188106774156129,6.180269081313073,2.068658972276998,84.09963824768975,3.938872414259753,0.9799701987395122,0.18262709275799405,1.2855636913737774,4.816142365541507,0.2832673607083479,1.0568519603294282,2.3619406584696288,0.5585319568495535,0.21629062753740863,0.22031417468971115
BELFAST NORTH,49.37833129220395,37.73256924030542,2.4099517360556737,10.479088676427772,31.301011363956533,32.60652655503066,17.954709467772382,0.6580888360866666,6.748650985658875,1.8024953651962397,1.2091683931741128,7.719219577937019,47.602650995050574,26.861378288268828,4.318857387041334,0.2714782159527409,0.1624440395578388,0.07229924772486077,5.209043201818233,15.501893404209358,5.198192736459516,2.3111213595424367,0.5397037764024155,4.447079557087446,1.0589331874489325,82.84427251894776,3.6006887308996305,22.541877832771398,32.70735758896288,15.6493666613447,9.436526348413274,14.663019450209905,1.0334952994543425,1.809409365402857,2.1588436469847947,6.611738760483485,12.97953032110221,9.806598965034702,4.769438733247556,4.014074692187045,11.16327404979479,11.849406172224988,11.437210843656375,6.6166937460672255,20.751979892371125,21.74934152915653,5.4359749711205225,11.490765620744385,4.708365045972369,12.429908928688825,21.646332137456916,1.7878340017092895,20.751462484855885,36.80808784995821,4.097863501037783,2.761583224546146,14.468027987264854,4.587772335809612,4.736963635339087,8.602043492960922,3.187699165077904,20.74993289630624,20.750082506081128,10.955631056472289,14.045475924378035,13.427753139175596,12.34435868779173,12.826943940944993,15.649822168167773,51.46126030034655,48.53873969965345,45.28564722897903,28.270447514486698,15.501036355269214,8.00419217295754,2.9386314978821715,87.3698729960461,2.9073432947960587,0.7242994919090507,0.1107738854400481,1.3264769292898935,3.5042366050884226,0.21033913427312945,1.0764465377499366,2.1295129182828214,0.40683080853141995,0.09388334569907116,0.13993677507818592
BELFAST SOUTH AND MID DOWN,44.293406449916006,36.61793399059918,5.200067273591149,13.888584785596715,25.039410751556904,29.40937746686803,18.15475100541311,0.9757257300911234,6.502695279224856,3.0823805637101014,2.6141700378408643,14.221507101525514,42.449278079448845,28.05401323581816,9.169930452563168,0.7415038180244693,0.3724940269128303,0.18574846006346407,9.769278868507238,9.25788818279004,5.365453810388421,2.0377343842799203,0.692445173168621,5.010207709015628,1.3786254008925694,82.71712993161493,2.7983712477303966,24.363936544433322,31.80125769968268,7.478715642022025,3.6822832295396313,24.776690773955984,1.1967913322360046,1.5608418234884864,5.139576827136821,15.710710262849773,17.36427375235445,8.427547504708897,4.899949169367566,2.8643294276357096,6.372537314825813,6.236807851555209,6.337703967351649,16.151182255519167,15.635038969303082,12.045977219120665,3.1558917123415515,7.421714615397668,2.9620861770545215,16.366795574485415,40.67577180091972,1.7361056235258183,15.63565633537527,42.12220509578999,5.898047945902835,2.9222504793741835,14.33638590894436,9.973385408358928,2.7732525071694014,4.096085871612564,2.243158329232492,15.635192691452716,15.630564787632995,18.821984948499093,15.952396192156929,12.682726748230984,11.047353964806298,11.285150226536118,14.579936510495326,50.08512466274117,49.914875337258835,54.05111392985016,28.996398839320563,11.230829274914731,4.226468471602382,1.4952071999456988,77.03056647604825,4.846363917123416,0.9393022348169894,0.19338404235461812,2.9562316268178037,3.962404057287336,0.4047579457331455,1.4988298433761518,6.629908477711221,0.9909186506253076,0.2792318049922791,0.2681146595170623
BELFAST WEST,73.93336702184806,19.246106749748506,1.7477029563722666,5.072778276963346,16.8930551719423,59.11475277617713,13.425074607623866,0.5597162292824425,3.269271054507808,1.777964898573089,0.5342180996005431,4.425830167303129,31.43137494262079,45.576873961070035,3.1652200822353964,0.16402419205188057,0.14841861918760804,0.05078484993505161,2.45326572190372,17.00997552471457,7.6717373057652685,4.042193497348348,0.8429440174237468,8.046305257400697,1.499133608102433,74.03888070984189,3.8587622596177322,19.764146080145327,32.63897102227779,21.424946546992352,11.540020490482375,10.322339782593833,0.9534610846868317,2.22289176571702,1.1332160974323413,4.725298147261913,10.992954917032105,10.19893652638467,4.67972249948725,3.670903192725781,10.912802224848372,12.136902255125062,14.288057086210431,6.129318354510739,22.265180488138373,24.29589996972331,5.4545937551885455,11.869154665051912,4.501098643408961,11.98286326656184,18.14735910107531,1.48744568264169,22.261650313998576,34.5393551748723,3.7005613298303532,2.8233456914316966,12.673128236431648,4.3694583793180914,5.594430397796639,10.659665979743917,3.3800251101192513,22.26003789469572,22.261908154196252,11.089569602203362,14.12682697360068,13.121413071716688,11.913022131283634,12.994646504995654,14.492589262518436,52.483200216820165,47.516799783179835,45.59094347049,25.514156999287035,15.484323384347928,9.667541649981931,3.7430289777222163,91.6981309320337,1.9478835617107306,0.5222894451552413,0.07900571350438035,1.352110470851361,1.4338538026545822,0.11908235259647033,0.7974880211741495,1.5502715428415161,0.3436308587836584,0.05668207522292434,0.09952502710252079
EAST ANTRIM,19.983098926467697,65.50317480874148,1.1651518266612835,13.348560058800999,47.820116690994546,8.808125697485428,21.3907075064443,0.6544243817095768,13.593333830243177,1.011791587730468,1.932075364659358,4.789339689638394,65.59403895566115,10.118502551839084,6.2005854322598015,0.4087615557418967,0.10869942130707994,0.08488001697775294,2.20458951106142,15.279994854912678,1.90796595132354,0.7112233195647897,0.1997393604356243,1.1995801836495956,0.41101813720923014,92.62549291385861,2.945027609553092,34.80354987214924,40.30925311345073,7.031937441121359,1.5591408118264543,12.70831642804642,0.8995145708458855,1.4669072952576165,1.2213133534167728,9.138607813907264,16.54423540068532,10.75384910504467,7.65037472178225,4.971101566301231,10.2077286975786,10.06381970454569,6.970621292586726,5.550795687236663,18.148772881145373,17.222865440955722,5.531742600701885,11.908952472644078,5.573858629149973,13.758351087507894,25.886811018975745,1.967772539519861,18.149649367992794,39.161262917067816,6.5565205234117006,2.2332105241363607,19.48641672101618,3.779833183225152,3.4785205337639886,5.120208246632918,2.0312250794538134,18.152852749050176,18.150604118140315,9.779884468461752,11.26110087269791,11.950500512438275,14.519510999306398,14.707506889447913,19.630871579862728,50.921878132861266,49.07812186713873,47.740253496485394,30.62934241229024,14.298137064298064,5.54344427880783,1.7888241870865556,89.46459459403502,4.364380218847376,1.2563390995579573,0.17489653922999682,0.9223090468648094,1.5674082839011565,0.1645514249924946,0.5071407393604357,0.9408208536496994,0.4025136080830668,0.05487054463389132,0.180035187428181
EAST LONDONDERRY,42.399821227517435,48.87330243251682,0.8525133357932881,7.8744187883776595,36.70226117150616,22.969495065898407,23.196591884041517,0.6671496220184875,8.353990330485463,1.6050450928632927,1.5488664339170994,4.956658000056768,50.94411061281258,21.992156396355483,5.060601894165178,0.3349543962230233,0.18175666316596178,0.062459443860993634,2.49502649182065,18.928969827708556,3.913414937602301,1.4097689818625643,0.41433502691758206,2.8601182481337455,0.7974279469785133,87.39460602878148,3.210248247282223,33.982349020275706,34.46934578448904,8.63829378482965,2.138874021931443,16.55499135231283,1.046809656268627,1.6623535333465793,1.507007029793837,6.827905187666165,14.286820205690063,8.862372011391482,9.431261105276603,4.29154362162111,10.0769691748744,10.823923476483778,9.443348774280226,6.491494791518832,19.46427665975987,20.65706493334469,4.772059795823754,11.212282147351292,5.103291428949884,13.026428183512625,24.07212692420501,1.6869545002980328,19.469754789815788,34.53807968361197,7.875511481365843,2.3285774081538038,18.05390356031147,4.340518227318744,4.411207828333001,6.089640808757439,2.891297559914091,19.471257169348963,19.46990737324137,10.632561919900088,11.223842704814889,11.967392627704767,14.122897987567766,13.551504451572006,19.031826951642962,50.68062432706046,49.31937567293954,48.74467500212881,29.059009669514538,14.672431797753871,5.6605516070127635,1.8633353012971532,89.12978626777553,4.245998363183938,1.1118558277274748,0.16934552903219702,1.6672322954216456,2.0405627903456236,0.10885428552505844,0.29714181639276016,0.6472281891894449,0.3784713841030153,0.04357678370374576,0.15993509503940656
FERMANAGH AND SOUTH TYRONE,60.18464099876695,34.04273348599612,0.9759404174740178,4.796684613352124,24.552341139686455,37.07867391227761,19.144800308261406,0.43925435088955433,4.592805901004052,1.8124432006341378,0.8047958869121015,11.57490925664964,33.52783265809407,34.2044555751277,4.337357459926016,0.24030832305795313,0.27389617755856965,0.05724836181081557,9.086167429980623,18.27276660207856,5.832719772767306,3.407969913686806,0.7838873260524925,5.034224458340673,1.4538367799894312,79.6064045358464,3.880947155187599,36.34167291703365,34.745020732781406,5.512758772238859,2.230249066408314,16.797281407433502,1.2207126651400388,2.049777602607011,1.1024974634490048,6.215185132992778,13.10150854324467,7.820540708120487,9.980464303329224,4.695108323057953,9.365710903646292,13.345712726792321,7.815191403910516,5.80237636075392,21.858275647348954,21.117165096001408,4.352670970583055,10.428188603135458,4.8496800598907885,11.442246221595912,23.89811028712348,2.0565643561740354,21.855425814690857,37.52678722917034,8.48097676589748,1.7309561299982388,15.047514285714286,3.9351665580412187,4.044636691914743,4.837543711467324,2.542556182843051,21.8539802536551,21.851939307732955,9.84447370970583,11.965314831777349,13.505000942399155,13.049661238330103,12.356829945393695,17.426670952968117,49.71685590981153,50.28314409018847,52.36191940285362,28.92275574246961,12.786321287651928,4.3641732957548,1.5648030385767133,80.47434795666726,4.216097533908755,0.5350621543068521,0.12676100052844813,4.970565122423816,6.214106429452175,0.18038485996124715,0.41644474194116604,2.259619790382244,0.35920317949621283,0.13643877928483353,0.11097319006517527
FOYLE,76.17402489131888,18.715281820704398,1.1992547300699874,3.911378354213128,14.353330400912611,59.14857474075825,16.241369813880354,0.5361683606877485,2.75551849377717,2.2998574350225582,0.6884589067140787,3.9767827096800716,25.971498155247012,52.50738340030627,3.325713081816594,0.16445880394232448,0.24669908430367,0.05345440531124426,1.983380060224248,15.74745185657174,6.274072957668315,2.5136117488669414,0.6608191936528165,5.317328951830879,1.3616282231791415,80.20611418969611,3.666496963094663,23.756268203446965,32.29263351592448,16.123255901667985,8.957093070100614,14.980267031848967,1.0110397829460551,1.6266779544310044,1.2527483530826387,6.8495207136470615,13.499279600834505,8.952458773110799,5.601810838309199,3.765844958531597,10.321341325550085,10.338195584925439,12.95405220805114,6.443490385702393,21.273980905008067,21.28153741405712,4.532155740316331,10.468811794086513,3.9690286630422493,12.590478659445239,24.49182064273455,1.3886582736400728,21.277546756009578,34.43335963947669,4.909565912664562,3.2094092679567945,14.08959168782052,4.415984502019465,5.250464610546437,9.158250608922643,3.2580189305571254,21.275322631368,21.267965694788444,10.709650093008438,13.049530117262574,13.421912818720902,13.10294005323577,13.056654152492728,15.391412967739946,51.55288743409761,48.44711256590239,48.97272879561781,26.525930331027823,14.41392847085907,7.488087171001922,2.599299795484209,87.97707939118013,3.559610700595048,0.9366909961666136,0.09352105279385015,3.969658057819389,1.267293084488659,0.12539943269991677,0.3136237731621841,1.211141845575162,0.38661193385609893,0.060678334686494764,0.09872062526335262
LAGAN VALLEY,25.428898405642382,60.67475935875672,1.512630418803269,12.383762675230578,42.8946099511717,13.87473084933233,20.993387563660548,0.6948705525122946,11.77374546281874,1.4097935385638531,2.111963308773342,6.24686798858923,60.446652085265754,14.803211081748017,7.2772048075745115,0.4705399114440225,0.15744122228250407,0.09358369064911881,3.414768765641681,13.336658219429811,2.4049041810322196,0.8326475962127444,0.26065851694989417,1.6377254764696616,0.5109021771469574,90.72984865853445,3.6233588179702134,30.868407935035616,44.240935403139716,7.077167215037015,3.6818027266840514,10.047555041215283,1.1429629850014875,1.3850537198760915,1.55600381525753,10.667514849752358,17.5674168518875,10.522791578431544,7.326592309980924,4.128780718948528,9.219755569750959,8.881542195348185,5.677895176674426,5.26833877911759,20.73939802061639,14.97001919879592,4.827322704282539,10.96219175169324,4.901889593797581,12.53632191672938,29.270198533401008,1.7859593622569525,20.746031292112214,41.39340487232889,6.679097621589458,1.8100310470956786,16.8061892577749,3.436056896340503,3.1936765431666636,3.954384728469172,1.9878075307583263,20.739334272563397,20.739272878419293,9.096850434904358,13.06169020283869,13.723903822258002,13.832324148129999,12.41680888709988,17.12912674355519,50.52569082413063,49.474309175869365,52.21639873816483,29.068636570468506,12.462006212919372,4.791478762316457,1.4614397521832725,87.16402856192794,4.6243253644621,1.0035083918164476,0.20031373492710758,1.402974877054201,2.8188923414830502,0.19161304888079944,0.5591551217207162,1.3334860953114336,0.39809728031642133,0.09969682703582491,0.20384184182432313
MID ULSTER,65.21654985272318,30.145689342163525,0.6063580848237491,4.031367325722426,22.520012330824173,42.97763733323066,19.638961996804188,0.385974414261787,4.607325789808058,2.1128469861193997,0.6737737038677011,7.083509125387444,34.20774196715631,35.51104836070308,4.673891380936796,0.17701162813083574,0.19731792541824694,0.053900323431453706,5.4919683402960935,19.687122124251584,8.070956490768726,3.194849084573475,0.8499737019425139,6.539024218855284,1.3967910594305295,75.87555226883313,4.072851009760699,34.63588410372908,39.83306356005622,5.118247694588298,1.3209883429913558,15.48252020483992,0.9305450975107329,1.9318499605336619,0.7468877038291974,6.3598077796815735,13.28223337119535,7.035590175769594,10.408963267427758,4.625344300483222,8.455152263057581,12.676470563887339,8.307712280769305,5.886082956317502,22.962565215717227,20.368103806095146,4.0768297556937405,10.37224230406407,5.720719779373544,12.116913270315539,22.82803606838265,1.553199536029879,22.963998960398897,37.50719687927151,8.859500847082376,1.6731214696879273,13.08025499104788,3.881535673719269,4.3408527039254565,5.284196417226576,2.404742814238685,22.96846416263982,22.96500502473865,10.584116993627632,12.79384939260343,13.718259072444795,13.28621343588164,11.368724361319138,15.283787844367865,50.12052935910518,49.87947064089482,53.28854949656354,27.669625339314248,12.605531832970755,4.76735071135668,1.668898455999846,89.63076556032573,2.3967312246115933,0.5054045299655392,0.08756983616656719,1.3406126523304391,4.405768274839728,0.1367263635138517,0.2742787767360376,0.7052708642165451,0.3262472902989816,0.07025442311764818,0.12037637410238146
