constituency,candidate,party,incumbent,first_prefs,pct,elected
BELFAST EAST,Joanne Bunting,DUP,True,6512,13.87,True
BELFAST EAST,David Brooks,DUP,True,6512,13.87,True
BELFAST EAST,Sinn Féin newcomer 1,Sinn Féin,False,2811,5.99,False
BELFAST EAST,Andy Allen,UUP,True,9125,19.43,True
BELFAST EAST,SDLP newcomer 1,SDLP,False,737,1.57,False
BELFAST EAST,Naomi Long,Alliance,True,5373,11.44,True
BELFAST EAST,Peter McReynolds,Alliance,True,5373,11.44,True
BELFAST EAST,TUV newcomer 1,TUV,False,4877,10.38,False
BELFAST EAST,Green newcomer 1,Green,False,4448,9.47,False
BELFAST EAST,PBP newcomer 1,PBP,False,628,1.34,False
BELFAST EAST,Aontú newcomer 1,Aontú,False,189,0.4,False
BELFAST EAST,Independent newcomer 1,Independent,False,2,0.0,False
BELFAST EAST,Other newcomer 1,Other,False,376,0.8,False
BELFAST NORTH,Phillip Brett,DUP,True,4168,9.41,True
BELFAST NORTH,Brian Kingston,DUP,True,4168,9.41,True
BELFAST NORTH,Carál Ní Chuilín,Sinn Féin,True,9005,20.33,True
BELFAST NORTH,Sinn Féin newcomer 1,Sinn Féin,False,5845,13.2,True
BELFAST NORTH,UUP newcomer 1,UUP,False,3721,8.4,False
BELFAST NORTH,SDLP newcomer 1,SDLP,False,4890,11.04,True
BELFAST NORTH,Nuala McAllister,Alliance,True,2951,6.66,False
BELFAST NORTH,TUV newcomer 1,TUV,False,4309,9.73,False
BELFAST NORTH,Green newcomer 1,Green,False,2312,5.22,False
BELFAST NORTH,PBP newcomer 1,PBP,False,1063,2.4,False
BELFAST NORTH,Aontú newcomer 1,Aontú,False,1423,3.21,False
BELFAST NORTH,Independent newcomer 1,Independent,False,147,0.33,False
BELFAST NORTH,Other newcomer 1,Other,False,284,0.64,False
BELFAST SOUTH AND MID DOWN,Edwin Poots,DUP,True,5963,12.5,True
BELFAST SOUTH AND MID DOWN,Deirdre Hargey,Sinn Féin,True,7416,15.55,True
BELFAST SOUTH AND MID DOWN,UUP newcomer 1,UUP,False,4325,9.07,True
BELFAST SOUTH AND MID DOWN,Matthew O'Toole,SDLP,True,10182,21.35,True
BELFAST SOUTH AND MID DOWN,Paula Bradshaw,Alliance,True,4011,8.41,False
BELFAST SOUTH AND MID DOWN,Kate Nicholl,Alliance,True,4011,8.41,False
BELFAST SOUTH AND MID DOWN,TUV newcomer 1,TUV,False,2971,6.23,False
BELFAST SOUTH AND MID DOWN,Green newcomer 1,Green,False,6380,13.38,True
BELFAST SOUTH AND MID DOWN,PBP newcomer 1,PBP,False,616,1.29,False
BELFAST SOUTH AND MID DOWN,Aontú newcomer 1,Aontú,False,1621,3.4,False
BELFAST SOUTH AND MID DOWN,Independent newcomer 1,Independent,False,54,0.11,False
BELFAST SOUTH AND MID DOWN,Other newcomer 1,Other,False,145,0.3,False
BELFAST WEST,DUP newcomer 1,DUP,False,4664,10.71,True
BELFAST WEST,Danny Baker,Sinn Féin,True,5912,13.57,False
BELFAST WEST,Órlaithí Flynn,Sinn Féin,True,5912,13.57,True
BELFAST WEST,Pat Sheehan,Sinn Féin,True,5912,13.57,True
BELFAST WEST,Aisling Reilly,Sinn Féin,True,5912,13.57,True
BELFAST WEST,UUP newcomer 1,UUP,False,1012,2.32,False
BELFAST WEST,SDLP newcomer 1,SDLP,False,3363,7.72,True
BELFAST WEST,Alliance newcomer 1,Alliance,False,1047,2.4,False
BELFAST WEST,TUV newcomer 1,TUV,False,1652,3.79,False
BELFAST WEST,Green newcomer 1,Green,False,606,1.39,False
BELFAST WEST,Gerry Carroll,PBP,True,3417,7.84,False
BELFAST WEST,Aontú newcomer 1,Aontú,False,3631,8.34,False
BELFAST WEST,Independent newcomer 1,Independent,False,104,0.24,False
BELFAST WEST,Other newcomer 1,Other,False,418,0.96,False
EAST ANTRIM,Gordon Lyons,DUP,True,5162,11.82,False
EAST ANTRIM,Cheryl Brownlee,DUP,True,5162,11.82,True
EAST ANTRIM,Sinn Féin newcomer 1,Sinn Féin,False,3600,8.24,False
EAST ANTRIM,John Stewart,UUP,True,8365,19.15,True
EAST ANTRIM,UUP newcomer 1,UUP,False,5430,12.43,True
EAST ANTRIM,SDLP newcomer 1,SDLP,False,1836,4.2,False
EAST ANTRIM,Stewart Dickson,Alliance,True,3197,7.32,False
EAST ANTRIM,Danny Donnelly,Alliance,True,3197,7.32,True
EAST ANTRIM,TUV newcomer 1,TUV,False,6460,14.79,True
EAST ANTRIM,Green newcomer 1,Green,False,1259,2.88,False
EAST ANTRIM,PBP newcomer 1,PBP,False,0,0.0,False
EAST ANTRIM,Aontú newcomer 1,Aontú,False,8,0.02,False
EAST ANTRIM,Independent newcomer 1,Independent,False,2,0.01,False
EAST ANTRIM,Other newcomer 1,Other,False,0,0.0,False
EAST LONDONDERRY,Maurice Bradley,DUP,True,5327,11.73,True
EAST LONDONDERRY,Alan Robinson,DUP,True,5327,11.73,True
