DZ21,con,catholic_bg_pct,persuadable,swing_halfwidth
N20000001,SOUTH ANTRIM,9.2,47.1,14.1
N20000004,SOUTH ANTRIM,44.3,47.1,14.1
N20000005,SOUTH ANTRIM,6.3,47.1,14.1
N20000006,SOUTH ANTRIM,36.1,47.1,14.1
N20000007,SOUTH ANTRIM,87.7,47.1,14.1
N20000008,SOUTH ANTRIM,52.6,47.1,14.1
N20000009,SOUTH ANTRIM,18.3,47.1,14.1
N20000010,SOUTH ANTRIM,5.9,47.1,14.1
N20000011,SOUTH ANTRIM,23.5,47.1,14.1
N20000012,SOUTH ANTRIM,18.5,47.1,14.1
N20000013,SOUTH ANTRIM,28.2,47.1,14.1
N20000015,SOUTH ANTRIM,91.6,47.1,14.1
N20000016,SOUTH ANTRIM,54.4,47.1,14.1
N20000017,SOUTH ANTRIM,87.1,47.1,14.1
N20000018,SOUTH ANTRIM,84.5,47.1,14.1
N20000019,SOUTH ANTRIM,44.7,47.1,14.1
N20000020,SOUTH ANTRIM,52.6,47.1,14.1
N20000022,SOUTH ANTRIM,93.8,47.1,14.1
N20000023,SOUTH ANTRIM,58.3,47.1,14.1
N20000025,SOUTH ANTRIM,44.5,47.1,14.1
N20000026,SOUTH ANTRIM,5.0,47.1,14.1
N20000027,SOUTH ANTRIM,47.6,47.1,14.1
N20000028,SOUTH ANTRIM,58.3,47.1,14.1
N20000030,SOUTH ANTRIM,13.9,47.1,14.1
N20000031,SOUTH ANTRIM,4.9,47.1,14.1
N20000032,SOUTH ANTRIM,85.4,47.1,14.1
N20000033,SOUTH ANTRIM,85.8,47.1,14.1
N20000034,SOUTH ANTRIM,86.8,47.1,14.1
N20000035,SOUTH ANTRIM,50.1,47.1,14.1
N20000036,SOUTH ANTRIM,47.3,47.1,14.1
N20000037,SOUTH ANTRIM,43.9,47.1,14.1
N20000038,SOUTH ANTRIM,39.5,47.1,14.1
N20000039,SOUTH ANTRIM,33.9,47.1,14.1
N20000040,SOUTH ANTRIM,55.1,47.1,14.1
N20000041,SOUTH ANTRIM,37.6,47.1,14.1
N20000042,SOUTH ANTRIM,40.0,47.1,14.1
N20000043,SOUTH ANTRIM,34.6,47.1,14.1
N20000044,SOUTH ANTRIM,39.5,47.1,14.1
N20000045,SOUTH ANTRIM,48.2,47.1,14.1
N20000046,SOUTH ANTRIM,19.7,47.1,14.1
N20000047,SOUTH ANTRIM,29.7,47.1,14.1
N20000048,SOUTH ANTRIM,44.4,47.1,14.1
N20000049,SOUTH ANTRIM,59.7,47.1,14.1
N20000051,SOUTH ANTRIM,71.1,47.1,14.1
N20000052,SOUTH ANTRIM,32.2,47.1,14.1
N20000053,SOUTH ANTRIM,43.3,47.1,14.1
N20000054,SOUTH ANTRIM,13.9,47.1,14.1
N20000055,SOUTH ANTRIM,12.9,47.1,14.1
N20000056,SOUTH ANTRIM,29.6,47.1,14.1
N20000057,SOUTH ANTRIM,47.8,47.1,14.1
N20000058,SOUTH ANTRIM,18.8,47.1,14.1
N20000059,SOUTH ANTRIM,53.9,47.1,14.1
N20000060,SOUTH ANTRIM,41.3,47.1,14.1
N20000061,SOUTH ANTRIM,26.9,47.1,14.1
N20000062,SOUTH ANTRIM,18.6,47.1,14.1
N20000063,SOUTH ANTRIM,37.7,47.1,14.1
N20000064,SOUTH ANTRIM,32.8,47.1,14.1
N20000065,SOUTH ANTRIM,41.3,47.1,14.1
N20000066,SOUTH ANTRIM,53.4,47.1,14.1
N20000067,SOUTH ANTRIM,45.8,47.1,14.1
N20000068,SOUTH ANTRIM,35.8,47.1,14.1
N20000069,SOUTH ANTRIM,33.3,47.1,14.1
N20000070,SOUTH ANTRIM,31.4,47.1,14.1
N20000071,SOUTH ANTRIM,37.8,47.1,14.1
N20000072,SOUTH ANTRIM,26.1,47.1,14.1
N20000073,SOUTH ANTRIM,16.5,47.1,14.1
N20000074,SOUTH ANTRIM,13.9,47.1,14.1
N20000075,SOUTH ANTRIM,33.4,47.1,14.1
N20000076,SOUTH ANTRIM,44.1,47.1,14.1
N20000077,SOUTH ANTRIM,25.6,47.1,14.1
N20000078,SOUTH ANTRIM,17.4,47.1,14.1
N20000079,SOUTH ANTRIM,6.4,47.1,14.1
N20000080,SOUTH ANTRIM,24.7,47.1,14.1
N20000081,SOUTH ANTRIM,27.1,47.1,14.1
N20000082,SOUTH ANTRIM,9.0,47.1,14.1
N20000083,SOUTH ANTRIM,32.0,47.1,14.1
N20000084,SOUTH ANTRIM,39.2,47.1,14.1
N20000085,SOUTH ANTRIM,26.0,47.1,14.1
N20000086,SOUTH ANTRIM,3.5,47.1,14.1
N20000087,SOUTH ANTRIM,4.6,47.1,14.1
N20000088,SOUTH ANTRIM,3.2,47.1,14.1
N20000089,SOUTH ANTRIM,7.5,47.1,14.1
N20000090,SOUTH ANTRIM,6.2,47.1,14.1
N20000091,SOUTH ANTRIM,2.3,47.1,14.1
N20000092,SOUTH ANTRIM,6.9,47.1,14.1
N20000093,SOUTH ANTRIM,3.0,47.1,14.1
N20000094,SOUTH ANTRIM,5.7,47.1,14.1
N20000096,SOUTH ANTRIM,3.7,47.1,14.1
N20000097,SOUTH ANTRIM,4.8,47.1,14.1
