DZ21,ten_owner,ten_social,ten_private
N20000818,0.624,0.138,0.238
N20000819,0.872,0.054,0.074
N20000820,0.505,0.431,0.064
N20000821,0.401,0.059,0.54
N20000822,0.897,0.0,0.103
N20000823,0.808,0.023,0.169
N20000824,0.502,0.223,0.275
N20000825,0.31,0.246,0.444
N20000826,0.703,0.007,0.29
N20000827,0.91,0.0,0.09
N20000828,0.633,0.036,0.331
N20000829,0.333,0.044,0.622
N20000830,0.552,0.303,0.145
N20000831,0.732,0.043,0.225
N20000832,0.285,0.57,0.146
N20000833,0.433,0.117,0.45
N20000834,0.184,0.652,0.165
N20000835,0.449,0.14,0.41
N20000836,0.22,0.412,0.368
N20000837,0.764,0.015,0.222
N20000838,0.624,0.098,0.278
N20000839,0.822,0.006,0.172
N20000840,0.457,0.21,0.333
N20000841,0.56,0.298,0.142
N20000842,0.274,0.488,0.238
N20000843,0.168,0.362,0.469
N20000844,0.178,0.716,0.106
N20000845,0.486,0.181,0.333
N20000846,0.414,0.26,0.325
N20000847,0.189,0.527,0.284
N20000848,0.104,0.755,0.141
N20000849,0.3,0.348,0.352
N20000850,0.137,0.596,0.267
N20000851,0.123,0.769,0.108
N20000852,0.12,0.755,0.125
N20000853,0.109,0.75,0.141
N20000854,0.204,0.026,0.77
N20000855,0.215,0.21,0.575
N20000856,0.379,0.5,0.121
N20000857,0.323,0.019,0.658
N20000858,0.379,0.421,0.201
N20000859,0.578,0.081,0.341
N20000860,0.864,0.009,0.127
N20000861,0.759,0.021,0.22
N20000862,0.554,0.116,0.33
N20000863,0.641,0.268,0.092
N20000864,0.373,0.304,0.324
N20000865,0.391,0.169,0.44
N20000866,0.579,0.015,0.406
N20000867,0.389,0.389,0.222
N20000868,0.49,0.177,0.333
N20000869,0.65,0.211,0.139
N20000870,0.086,0.868,0.046
N20000871,0.607,0.169,0.224
N20000872,0.322,0.06,0.618
N20000873,0.338,0.506,0.156
N20000874,0.059,0.911,0.03
N20000875,0.457,0.164,0.379
N20000876,0.413,0.098,0.49
N20000877,0.147,0.722,0.131
N20000878,0.496,0.05,0.454
N20000879,0.604,0.114,0.282
N20000880,0.212,0.601,0.187
N20000881,0.373,0.262,0.365
N20000882,0.292,0.119,0.588
N20000883,0.536,0.301,0.163
N20000884,0.093,0.617,0.29
N20000885,0.233,0.456,0.311
N20000886,0.312,0.573,0.116
N20000887,0.383,0.502,0.116
N20000888,0.418,0.241,0.341
N20000889,0.905,0.0,0.095
N20000890,0.756,0.104,0.14
N20000891,0.279,0.329,0.393
N20000892,0.202,0.601,0.198
N20000893,0.193,0.432,0.375
N20000894,0.265,0.591,0.143
N20000895,0.492,0.049,0.459
N20000896,0.367,0.524,0.108
N20000897,0.68,0.006,0.315
N20000898,0.438,0.111,0.451
N20000899,0.265,0.158,0.577
N20000900,0.291,0.458,0.251
N20000901,0.201,0.226,0.572
N20000902,0.665,0.147,0.188
N20000903,0.141,0.717,0.141
N20000904,0.177,0.675,0.148
N20000905,0.264,0.203,0.533
N20000906,0.234,0.36,0.405
N20000907,0.384,0.123,0.493
N20000908,0.265,0.419,0.316
N20000909,0.935,0.008,0.057
N20000910,0.146,0.583,0.271
N20000911,0.188,0.639,0.174
N20000912,0.18,0.466,0.354
N20000913,0.245,0.321,0.434
N20000914,0.211,0.247,0.541
N20000915,0.204,0.224,0.572
N20000916,0.49,0.036,0.474
N20000917,0.389,0.052,0.559
N20000918,0.16,0.679,0.16
N20000919,0.3,0.483,0.217
N20000920,0.296,0.354,0.35
N20000921,0.253,0.533,0.213
N20000922,0.179,0.559,0.262
N20000923,0.711,0.015,0.273
N20000924,0.172,0.488,0.34
N20000925,0.386,0.167,0.447
N20000926,0.44,0.103,0.457
N20000927,0.187,0.508,0.306
N20000928,0.248,0.318,0.433
N20000929,0.519,0.039,0.442
N20000930,0.351,0.299,0.351
N20000931,0.31,0.306,0.384
N20000932,0.205,0.218,0.577
N20000933,0.325,0.175,0.5
N20000934,0.311,0.245,0.444
N20000935,0.735,0.168,0.097
N20000936,0.131,0.707,0.162
N20000937,0.536,0.146,0.318
N20000938,0.339,0.179,0.482
N20000939,0.384,0.238,0.378
N20000940,0.315,0.173,0.512
N20000941,0.45,0.182,0.368
N20000942,0.267,0.389,0.344
N20000943,0.462,0.116,0.422
N20000944,0.244,0.158,0.598
N20000945,0.733,0.0,0.267
N20000946,0.835,0.024,0.141
N20000947,0.378,0.47,0.151
N20000948,0.387,0.535,0.077
N20000949,0.359,0.576,0.065
N20000950,0.788,0.026,0.186
N20000951,0.7,0.231,0.069
N20000952,0.881,0.006,0.114
N20000953,0.946,0.0,0.054
N20000954,0.903,0.0,0.097
N20000955,0.986,0.007,0.007
N20000956,0.909,0.0,0.091
N20000957,0.502,0.38,0.117
N20000958,0.833,0.071,0.096
N20000959,0.896,0.009,0.095
N20000960,0.908,0.009,0.083
N20000961,0.939,0.0,0.061
N20000962,0.874,0.067,0.059
N20000963,0.748,0.014,0.238
N20000964,0.634,0.199,0.167
N20000965,0.951,0.0,0.049
N20000966,0.605,0.085,0.31
N20000967,0.716,0.148,0.136
N20000968,0.644,0.106,0.25
N20000969,0.879,0.004,0.117
N20000970,0.696,0.101,0.203
N20000971,0.93,0.0,0.07
N20000972,0.627,0.02,0.353
N20000973,0.871,0.0,0.129
N20000974,0.911,0.011,0.078
N20000975,0.741,0.06,0.199
N20000976,0.534,0.045,0.421
N20000977,0.599,0.135,0.266
N20000978,0.692,0.01,0.297
N20000979,0.904,0.004,0.091
N20000980,0.323,0.498,0.179
N20000981,0.775,0.085,0.14
N20000982,0.928,0.004,0.068
N20000983,0.712,0.131,0.157
N20000984,0.866,0.035,0.1
N20000985,0.648,0.07,0.281
N20000986,0.831,0.074,0.095
N20000987,0.899,0.005,0.097
N20000988,0.8,0.056,0.144
N20000989,0.47,0.353,0.177
N20000990,0.909,0.013,0.078
N20000991,0.897,0.014,0.09
N20000992,0.974,0.0,0.026
N20000993,0.933,0.0,0.067
N20000994,0.916,0.0,0.084
N20000995,0.912,0.01,0.078
N20000996,0.332,0.559,0.109
N20000997,0.78,0.064,0.156
N20000998,0.939,0.0,0.061
N20000999,0.43,0.496,0.074
N20001000,0.243,0.644,0.114
N20001001,0.844,0.004,0.152
N20001002,0.65,0.231,0.12
N20001003,0.602,0.259,0.139
N20001004,0.487,0.366,0.147
N20001005,0.952,0.0,0.048
N20001006,0.805,0.028,0.167
N20001007,0.644,0.168,0.188
N20001008,0.943,0.004,0.053
N20001009,0.502,0.323,0.174
N20001010,0.949,0.006,0.045
N20001011,0.647,0.263,0.09
N20001012,0.206,0.68,0.114
N20001013,0.78,0.13,0.089
N20001014,0.427,0.431,0.142
N20001015,0.841,0.1,0.059
N20001016,0.753,0.156,0.091
N20001017,0.688,0.035,0.276
N20001018,0.377,0.393,0.23
N20001019,0.716,0.008,0.276
N20001020,0.919,0.004,0.077
N20001021,0.478,0.036,0.486
N20001022,0.922,0.005,0.073
N20001023,0.784,0.005,0.211
N20001024,0.519,0.032,0.449
N20001025,0.828,0.008,0.164
N20001026,0.421,0.452,0.127
N20001027,0.56,0.17,0.269
N20001028,0.675,0.153,0.173
N20001029,0.5,0.04,0.46
N20001030,0.801,0.007,0.192
N20001031,0.903,0.0,0.097
N20001032,0.556,0.019,0.425
N20001033,0.736,0.187,0.077
N20001034,0.9,0.0,0.1
N20001035,0.927,0.0,0.073
N20001036,0.901,0.012,0.086
N20001037,0.888,0.005,0.107
N20001038,0.59,0.209,0.201
N20001039,0.828,0.108,0.063
N20001040,0.51,0.353,0.137
N20001041,0.427,0.387,0.186
N20001042,0.947,0.023,0.031
N20001043,0.906,0.028,0.066
N20001044,0.175,0.715,0.109
N20001045,0.633,0.226,0.141
N20001046,0.701,0.146,0.154
N20001047,0.953,0.0,0.047
N20001048,0.849,0.016,0.135
N20001049,0.692,0.182,0.126
N20001050,0.93,0.009,0.061
N20001051,0.846,0.027,0.126
N20001052,0.883,0.016,0.101
N20001053,0.469,0.381,0.15
N20001054,0.889,0.016,0.095
N20001055,0.651,0.222,0.127
N20001056,0.816,0.067,0.117
N20001057,0.533,0.269,0.198
N20001058,0.531,0.315,0.154
N20001059,0.556,0.159,0.285
N20001060,0.78,0.155,0.065
N20001061,0.438,0.194,0.369
N20001062,0.879,0.0,0.121
N20001063,0.756,0.057,0.187
N20001064,0.265,0.475,0.26
N20001065,0.553,0.293,0.154
N20001066,0.667,0.007,0.326
N20001067,0.884,0.0,0.116
N20001068,0.942,0.006,0.052
N20001069,0.919,0.0,0.081
N20001070,0.699,0.02,0.281
N20001071,0.863,0.0,0.137
N20001072,0.729,0.009,0.262
N20001073,0.904,0.0,0.096
N20001074,0.895,0.006,0.099
N20001075,0.892,0.005,0.103
N20001076,0.808,0.014,0.178
N20001077,0.917,0.004,0.079
N20001078,0.964,0.007,0.029
N20001079,0.266,0.234,0.5
N20001080,0.15,0.106,0.744
N20001081,0.224,0.348,0.428
N20001082,0.275,0.632,0.094
N20001083,0.42,0.42,0.16
N20001084,0.183,0.713,0.104
N20001085,0.241,0.036,0.723
N20001086,0.153,0.734,0.113
N20001087,0.297,0.251,0.451
N20001088,0.226,0.15,0.624
N20001089,0.177,0.694,0.129
N20001090,0.198,0.49,0.312
N20001091,0.288,0.555,0.157
N20001092,0.16,0.655,0.184
N20001093,0.181,0.62,0.199
N20001094,0.281,0.511,0.208
N20001095,0.271,0.562,0.167
N20001096,0.208,0.381,0.412
N20001097,0.16,0.691,0.149
N20001098,0.371,0.156,0.473
N20001099,0.184,0.372,0.444
N20001100,0.166,0.322,0.513
N20001101,0.2,0.609,0.191
N20001102,0.183,0.261,0.556
N20001103,0.055,0.109,0.836
N20001104,0.174,0.397,0.43
N20001105,0.099,0.053,0.849
N20001106,0.32,0.105,0.574
N20001107,0.043,0.085,0.872
N20001108,0.115,0.26,0.626
N20001109,0.082,0.783,0.135
N20001110,0.018,0.558,0.423
N20001111,0.261,0.36,0.379
N20001112,0.029,0.069,0.902
N20001113,0.036,0.241,0.723
N20001114,0.02,0.385,0.595
N20001115,0.252,0.086,0.662
N20001116,0.317,0.393,0.29
N20001117,0.28,0.373,0.348
N20001118,0.324,0.27,0.405
N20001119,0.182,0.006,0.812
N20001120,0.059,0.034,0.906
N20001121,0.745,0.009,0.247
N20001122,0.078,0.047,0.876
N20001123,0.112,0.107,0.781
N20001124,0.263,0.048,0.689
N20001125,0.321,0.057,0.623
N20001126,0.206,0.106,0.688
N20001127,0.172,0.172,0.655
N20001128,0.331,0.074,0.596
N20001129,0.289,0.098,0.613
N20001130,0.083,0.152,0.765
N20001131,0.112,0.107,0.782
N20001132,0.065,0.32,0.615
N20001133,0.138,0.047,0.815
N20001134,0.322,0.074,0.603
N20001135,0.198,0.101,0.701
N20001136,0.107,0.045,0.847
N20001137,0.128,0.017,0.855
N20001138,0.385,0.29,0.326
N20001139,0.17,0.039,0.792
N20001140,0.185,0.181,0.634
N20001141,0.254,0.473,0.272
N20001142,0.197,0.06,0.742
N20001143,0.124,0.028,0.848
N20001144,0.198,0.047,0.755
N20001145,0.443,0.043,0.514
N20001146,0.594,0.035,0.371
N20001147,0.257,0.533,0.21
N20001148,0.406,0.137,0.457
N20001149,0.225,0.128,0.647
N20001150,0.324,0.251,0.425
N20001151,0.217,0.015,0.768
N20001152,0.251,0.047,0.702
N20001153,0.181,0.019,0.801
N20001154,0.31,0.415,0.275
N20001155,0.425,0.184,0.392
N20001156,0.498,0.018,0.484
N20001157,0.144,0.02,0.837
N20001158,0.394,0.276,0.331
N20001159,0.385,0.065,0.55
N20001160,0.476,0.157,0.368
N20001161,0.326,0.146,0.528
N20001162,0.686,0.0,0.314
N20001163,0.545,0.045,0.409
N20001164,0.672,0.056,0.272
N20001165,0.439,0.184,0.377
N20001166,0.592,0.016,0.392
N20001167,0.753,0.004,0.243
N20001168,0.392,0.038,0.57
N20001169,0.802,0.045,0.153
N20001170,0.766,0.0,0.234
N20001171,0.602,0.036,0.361
N20001172,0.898,0.0,0.102
N20001173,0.831,0.006,0.164
N20001174,0.821,0.0,0.179
N20001175,0.778,0.0,0.222
N20001176,0.87,0.012,0.117
N20001177,0.811,0.016,0.173
N20001178,0.946,0.0,0.054
N20001179,0.317,0.03,0.653
N20001180,0.794,0.0,0.206
N20001181,0.584,0.0,0.416
N20001182,0.884,0.017,0.098
N20001183,0.766,0.006,0.229
N20001184,0.686,0.006,0.308
N20001185,0.819,0.021,0.161
N20001186,0.633,0.011,0.356
N20001187,0.612,0.284,0.104
N20001188,0.528,0.161,0.311
N20001189,0.927,0.0,0.073
N20001190,0.916,0.021,0.063
N20001191,0.95,0.0,0.05
N20001192,0.924,0.005,0.071
N20001193,0.766,0.028,0.207
N20001194,0.54,0.313,0.147
N20001195,0.849,0.004,0.147
N20001196,0.949,0.0,0.051
N20001197,0.932,0.0,0.068
N20001198,0.962,0.005,0.033
N20001199,0.887,0.009,0.104
N20001200,0.849,0.029,0.122
N20001201,0.869,0.037,0.094
N20001202,0.72,0.063,0.217
N20001203,0.676,0.182,0.141
N20001204,0.92,0.006,0.074
N20001205,0.556,0.287,0.157
N20001206,0.181,0.638,0.181
N20001207,0.206,0.681,0.113
N20001208,0.283,0.612,0.105
N20001209,0.618,0.176,0.206
N20001210,0.599,0.254,0.147
N20001211,0.578,0.305,0.117
N20001212,0.961,0.0,0.039
N20001213,0.571,0.269,0.16
N20001214,0.484,0.258,0.258
N20001215,0.826,0.049,0.125
N20001216,0.661,0.181,0.157
N20001217,0.681,0.177,0.142
N20001218,0.893,0.013,0.093
N20001219,0.861,0.075,0.064
N20001220,0.885,0.004,0.111
N20001221,0.835,0.01,0.155
N20001222,0.371,0.461,0.169
N20001223,0.483,0.338,0.179
N20001224,0.394,0.448,0.158
N20001225,0.72,0.178,0.103
N20001226,0.956,0.0,0.044
N20001227,0.134,0.754,0.112
N20001228,0.403,0.468,0.129
N20001229,0.488,0.358,0.153
N20001230,0.97,0.004,0.026
N20001231,0.807,0.005,0.188
N20001232,0.634,0.24,0.126
N20001233,0.926,0.0,0.074
N20001234,0.688,0.015,0.297
N20001235,0.229,0.688,0.083
N20001236,0.899,0.0,0.101
N20001237,0.856,0.033,0.111
N20001238,0.922,0.0,0.078
N20001239,0.241,0.7,0.059
N20001240,0.392,0.498,0.11
N20001241,0.592,0.263,0.145
N20001242,0.233,0.633,0.134
N20001243,0.396,0.509,0.095
N20001244,0.936,0.009,0.055
N20001245,0.944,0.0,0.056
N20001246,0.924,0.007,0.069
N20001247,0.725,0.155,0.121
N20001248,0.104,0.827,0.069
N20001249,0.315,0.517,0.168
N20001250,0.851,0.007,0.142
N20001251,0.911,0.015,0.074
N20001252,0.543,0.367,0.09
N20001253,0.831,0.07,0.099
N20001254,0.724,0.197,0.079
N20001255,0.198,0.73,0.072
N20001256,0.469,0.458,0.073
N20001257,0.303,0.62,0.077
N20001258,0.967,0.0,0.033
N20001259,0.672,0.254,0.075
N20001260,0.809,0.006,0.185
N20001261,0.308,0.616,0.076
N20001262,0.383,0.484,0.133
N20001263,0.208,0.725,0.068
N20001264,0.931,0.0,0.069
N20001265,0.92,0.015,0.065
N20001266,0.207,0.668,0.124
N20001267,0.876,0.017,0.107
N20001268,0.132,0.795,0.073
N20001269,0.242,0.628,0.13
N20001270,0.333,0.58,0.086
N20001271,0.918,0.006,0.076
N20001272,0.309,0.614,0.076
N20001273,0.902,0.015,0.083
N20001274,0.484,0.413,0.103
N20001275,0.694,0.011,0.294
N20001276,0.349,0.577,0.074
N20001277,0.514,0.429,0.057
N20001278,0.799,0.053,0.148
N20001279,0.939,0.0,0.061
N20001280,0.474,0.029,0.497
N20001281,0.684,0.033,0.283
N20001282,0.911,0.006,0.083
N20001283,0.506,0.406,0.087
N20001284,0.934,0.019,0.047
N20001285,0.473,0.385,0.142
N20001286,0.174,0.722,0.104
N20001287,0.552,0.343,0.105
N20001288,0.463,0.436,0.101
N20001289,0.478,0.359,0.163
N20001290,0.931,0.019,0.05
N20001291,0.637,0.324,0.038
N20001292,0.645,0.131,0.223
N20001293,0.389,0.465,0.146
N20001294,0.893,0.0,0.107
N20001295,0.43,0.367,0.203
N20001296,0.762,0.11,0.128
N20001297,0.548,0.4,0.052
N20001298,0.438,0.489,0.072
N20001299,0.26,0.638,0.102
N20001300,0.075,0.773,0.153
N20001301,0.312,0.627,0.061
N20001302,0.404,0.538,0.058
N20001303,0.644,0.078,0.278
N20001304,0.093,0.758,0.15
N20001305,0.184,0.759,0.057
N20001306,0.411,0.449,0.14
N20001307,0.322,0.174,0.504
N20001308,0.853,0.082,0.065
N20001309,0.856,0.098,0.046
N20001310,0.438,0.461,0.1
N20001311,0.442,0.221,0.337
N20001312,0.492,0.073,0.436
N20001313,0.358,0.547,0.094
N20001314,0.42,0.42,0.16
N20001315,0.437,0.141,0.422
N20001316,0.453,0.466,0.081
N20001317,0.408,0.518,0.073
N20001318,0.824,0.054,0.122
N20001319,0.506,0.144,0.35
N20001320,0.289,0.612,0.1
N20001321,0.554,0.146,0.3
N20001322,0.549,0.15,0.301
N20001323,0.442,0.394,0.164
N20001324,0.3,0.479,0.221
N20001325,0.387,0.478,0.135
N20001326,0.566,0.306,0.128
N20001327,0.936,0.013,0.051
N20001328,0.237,0.662,0.102
N20001329,0.482,0.345,0.173
N20001330,0.719,0.012,0.269
N20001331,0.925,0.01,0.065
N20001332,0.049,0.89,0.061
N20001333,0.829,0.011,0.16
N20001334,0.823,0.022,0.155
N20001335,0.547,0.139,0.314
N20001336,0.305,0.468,0.227
N20001337,0.737,0.156,0.106
N20001338,0.195,0.636,0.169
N20001339,0.85,0.077,0.073
N20001340,0.787,0.056,0.157
N20001341,0.639,0.18,0.18
N20001342,0.751,0.106,0.143
N20001343,0.647,0.195,0.158
N20001344,0.514,0.372,0.115
N20001345,0.714,0.161,0.125
N20001346,0.644,0.259,0.097
N20001347,0.157,0.763,0.081
N20001348,0.429,0.462,0.11
N20001349,0.655,0.207,0.138
N20001350,0.841,0.0,0.159
N20001351,0.53,0.391,0.079
N20001352,0.554,0.333,0.113
N20001353,0.608,0.292,0.1
N20001354,0.599,0.207,0.194
N20001355,0.684,0.16,0.156
N20001356,0.538,0.333,0.129
N20001357,0.605,0.189,0.205
N20001358,0.545,0.378,0.077
N20001359,0.513,0.408,0.079
N20001360,0.727,0.201,0.071
N20001361,0.841,0.041,0.118
N20001362,0.794,0.139,0.067
N20001363,0.553,0.32,0.127
N20001364,0.79,0.144,0.066
N20001365,0.225,0.459,0.316
N20001366,0.825,0.141,0.034
N20001367,0.855,0.018,0.127
N20001368,0.8,0.091,0.109
N20001369,0.325,0.569,0.105
N20001370,0.274,0.586,0.139
N20001371,0.897,0.016,0.086
N20001372,0.369,0.444,0.188
N20001373,0.643,0.281,0.077
N20001374,0.889,0.011,0.1
N20001375,0.446,0.406,0.148
N20001376,0.11,0.826,0.064
N20001377,0.087,0.805,0.108
N20001378,0.481,0.226,0.292
N20001379,0.498,0.067,0.435
N20001380,0.933,0.011,0.056
N20001381,0.155,0.769,0.076
N20001382,0.397,0.362,0.241
N20001383,0.277,0.576,0.147
N20001384,0.163,0.476,0.361
N20001385,0.263,0.569,0.167
N20001386,0.926,0.0,0.074
N20001387,0.185,0.66,0.155
N20001388,0.937,0.013,0.05
N20001389,0.116,0.815,0.068
N20001390,0.53,0.222,0.248
N20001391,0.907,0.005,0.088
N20001392,0.934,0.018,0.048
N20001393,0.159,0.675,0.167
N20001394,0.33,0.17,0.5
N20001395,0.22,0.692,0.088
N20001396,0.183,0.728,0.089
N20001397,0.244,0.336,0.419
N20001398,0.165,0.67,0.165
N20001399,0.211,0.67,0.119
N20001400,0.281,0.137,0.583
N20001401,0.517,0.076,0.407
N20001402,0.672,0.008,0.32
N20001403,0.324,0.57,0.106
N20001404,0.365,0.114,0.521
N20001405,0.325,0.628,0.047
N20001406,0.066,0.809,0.126
N20001407,0.187,0.566,0.247
N20001408,0.212,0.681,0.106
N20001409,0.278,0.461,0.261
N20001410,0.208,0.635,0.157
N20001411,0.353,0.424,0.223
N20001412,0.197,0.73,0.073
N20001413,0.373,0.448,0.179
N20001414,0.339,0.542,0.119
N20001415,0.173,0.796,0.031
N20001416,0.384,0.525,0.091
N20001417,0.304,0.613,0.083
N20001418,0.297,0.364,0.339
N20001419,0.324,0.555,0.121
N20001420,0.331,0.432,0.237
N20001421,0.239,0.642,0.119
N20001422,0.646,0.108,0.247
N20001423,0.095,0.81,0.095
N20001424,0.437,0.427,0.136
N20001425,0.162,0.085,0.754
N20001426,0.193,0.677,0.13
N20001427,0.347,0.469,0.184
N20001428,0.341,0.351,0.308
N20001429,0.266,0.644,0.09
N20001430,0.338,0.429,0.234
N20001431,0.16,0.763,0.077
N20001432,0.288,0.598,0.114
N20001433,0.216,0.703,0.081
N20001434,0.316,0.58,0.104
N20001435,0.159,0.641,0.2
N20001436,0.4,0.533,0.067
N20001437,0.269,0.617,0.114
N20001438,0.275,0.621,0.105
N20001439,0.373,0.133,0.494
N20001440,0.363,0.525,0.112
N20001441,0.418,0.185,0.397
N20001442,0.538,0.392,0.07
N20001443,0.356,0.305,0.339
N20001444,0.247,0.629,0.124
N20001445,0.374,0.299,0.328
N20001446,0.817,0.043,0.14
N20001447,0.549,0.005,0.445
N20001448,0.477,0.031,0.492
N20001449,0.43,0.35,0.22
N20001450,0.75,0.009,0.241
N20001451,0.511,0.304,0.185
N20001452,0.66,0.005,0.335
N20001453,0.692,0.093,0.215
N20001454,0.561,0.278,0.16
N20001455,0.728,0.11,0.162
N20001456,0.652,0.11,0.238
N20001457,0.867,0.012,0.12
N20001458,0.869,0.025,0.106
N20001459,0.815,0.014,0.171
N20001460,0.789,0.035,0.176
N20001461,0.896,0.011,0.093
N20001462,0.877,0.009,0.114
N20001463,0.67,0.113,0.217
N20001464,0.886,0.019,0.095
N20001465,0.899,0.0,0.101
N20001466,0.829,0.026,0.145
N20001467,0.521,0.274,0.205
N20001468,0.754,0.07,0.176
N20001469,0.761,0.012,0.226
N20001470,0.351,0.47,0.179
N20001471,0.553,0.157,0.289
N20001472,0.7,0.119,0.181
N20001473,0.562,0.191,0.247
N20001474,0.277,0.147,0.576
N20001475,0.776,0.011,0.213
N20001476,0.741,0.011,0.247
N20001477,0.839,0.019,0.142
N20001478,0.897,0.025,0.078
N20001479,0.668,0.121,0.211
N20001480,0.874,0.025,0.101
N20001481,0.705,0.115,0.18
N20001482,0.834,0.022,0.144
N20001483,0.605,0.216,0.179
N20001484,0.841,0.025,0.134
N20001485,0.778,0.063,0.159
N20001486,0.272,0.427,0.3
N20001487,0.737,0.086,0.177
N20001488,0.197,0.189,0.615
N20001489,0.855,0.003,0.141
N20001490,0.255,0.343,0.402
N20001491,0.854,0.0,0.146
N20001492,0.733,0.036,0.23
N20001493,0.475,0.206,0.319
N20001494,0.772,0.011,0.217
N20001495,0.286,0.5,0.214
N20001496,0.317,0.403,0.281
N20001497,0.877,0.0,0.123
N20001498,0.432,0.327,0.241
N20001499,0.349,0.408,0.243
N20001500,0.222,0.492,0.286
N20001501,0.62,0.043,0.337
N20001502,0.234,0.584,0.182
N20001503,0.767,0.0,0.233
N20001504,0.353,0.345,0.302
N20001505,0.868,0.008,0.124
N20001506,0.439,0.413,0.148
N20001507,0.348,0.326,0.326
N20001508,0.796,0.011,0.193
N20001509,0.393,0.319,0.288
N20001510,0.708,0.089,0.203
N20001511,0.879,0.009,0.112
N20001512,0.722,0.105,0.173
N20001513,0.807,0.041,0.152
N20001514,0.767,0.009,0.224
N20001515,0.592,0.209,0.199
N20001516,0.773,0.07,0.156
N20001517,0.846,0.034,0.121
N20001518,0.865,0.006,0.129
N20001519,0.462,0.438,0.1
N20001520,0.906,0.008,0.086
N20001521,0.849,0.059,0.091
N20001522,0.766,0.036,0.197
N20001523,0.47,0.383,0.148
N20001524,0.644,0.134,0.222
N20001525,0.889,0.005,0.105
N20001526,0.854,0.011,0.135
N20001527,0.872,0.029,0.099
N20001528,0.794,0.093,0.113
N20001529,0.822,0.025,0.153
N20001530,0.895,0.018,0.087
N20001531,0.716,0.138,0.147
N20001532,0.822,0.035,0.144
N20001533,0.842,0.007,0.151
N20001534,0.848,0.033,0.119
N20001535,0.545,0.364,0.091
N20001536,0.536,0.274,0.19
N20001537,0.476,0.206,0.318
N20001538,0.893,0.006,0.101
N20001539,0.846,0.031,0.123
N20001540,0.527,0.128,0.345
N20001541,0.52,0.134,0.346
N20001542,0.886,0.011,0.103
N20001543,0.485,0.314,0.201
N20001544,0.787,0.02,0.193
N20001545,0.899,0.0,0.101
N20001546,0.825,0.078,0.097
N20001547,0.321,0.561,0.118
N20001548,0.628,0.01,0.361
N20001549,0.688,0.005,0.307
N20001550,0.111,0.813,0.076
N20001551,0.559,0.262,0.179
N20001552,0.82,0.017,0.163
N20001553,0.152,0.723,0.125
N20001554,0.369,0.407,0.225
N20001555,0.728,0.017,0.255
N20001556,0.762,0.023,0.215
N20001557,0.732,0.009,0.259
N20001558,0.914,0.005,0.082
N20001559,0.295,0.549,0.156
N20001560,0.914,0.0,0.086
N20001561,0.505,0.15,0.345
N20001562,0.464,0.112,0.425
N20001563,0.279,0.571,0.151
N20001564,0.335,0.514,0.151
N20001565,0.534,0.076,0.39
N20001566,0.272,0.568,0.16
N20001567,0.209,0.373,0.418
N20001568,0.521,0.174,0.305
N20001569,0.894,0.007,0.099
N20001570,0.343,0.198,0.459
N20001571,0.075,0.605,0.32
N20001572,0.438,0.204,0.358
N20001573,0.771,0.013,0.215
N20001574,0.194,0.652,0.154
N20001575,0.366,0.346,0.288
N20001576,0.392,0.005,0.603
N20001577,0.805,0.0,0.195
N20001578,0.216,0.667,0.117
N20001579,0.39,0.397,0.213
N20001580,0.678,0.149,0.173
N20001581,0.575,0.234,0.192
N20001582,0.698,0.059,0.243
N20001583,0.919,0.005,0.076
N20001584,0.889,0.0,0.111
N20001585,0.793,0.005,0.202
N20001586,0.723,0.011,0.266
N20001587,0.618,0.015,0.367
N20001588,0.652,0.128,0.22
N20001589,0.785,0.007,0.208
N20001590,0.848,0.005,0.147
N20001591,0.823,0.0,0.177
N20001592,0.81,0.0,0.19
N20001593,0.927,0.0,0.073
N20001594,0.901,0.0,0.099
N20001595,0.492,0.354,0.154
N20001596,0.904,0.0,0.096
N20001597,0.807,0.05,0.143
N20001598,0.72,0.185,0.095
N20001599,0.393,0.168,0.439
N20001600,0.113,0.824,0.063
N20001601,0.469,0.229,0.302
N20001602,0.854,0.049,0.097
N20001603,0.409,0.27,0.321
N20001604,0.445,0.074,0.482
N20001605,0.439,0.316,0.245
N20001606,0.75,0.034,0.216
N20001607,0.505,0.373,0.123
N20001608,0.503,0.166,0.331
N20001609,0.812,0.016,0.172
N20001610,0.771,0.017,0.212
N20001611,0.881,0.008,0.111
N20001612,0.254,0.615,0.131
N20001613,0.923,0.004,0.073
N20001614,0.648,0.122,0.23
N20001615,0.687,0.008,0.306
N20001616,0.76,0.087,0.154
N20001617,0.835,0.046,0.119
N20001618,0.814,0.005,0.181
N20001619,0.857,0.006,0.136
N20001620,0.663,0.037,0.301
N20001621,0.502,0.018,0.48
N20001622,0.349,0.385,0.266
N20001623,0.809,0.0,0.191
N20001624,0.875,0.0,0.125
N20001625,0.645,0.019,0.336
N20001626,0.455,0.303,0.242
N20001627,0.784,0.072,0.144
N20001628,0.754,0.008,0.237
N20001629,0.31,0.44,0.25
N20001630,0.35,0.031,0.619
N20001631,0.754,0.0,0.246
N20001632,0.815,0.007,0.177
N20001633,0.097,0.017,0.886
N20001634,0.824,0.025,0.152
N20001635,0.734,0.004,0.262
N20001636,0.789,0.062,0.149
N20001637,0.868,0.029,0.102
N20001638,0.569,0.045,0.386
N20001639,0.688,0.174,0.138
