id,title,provider,bestMatchScore,bestMatchCandidateTitle,titleJaccard,autoDecision,reason
already-on-site-review:1071,census-2021,Local standalone source,0.67,Census Grid 2021 (1km),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:949,OSNI OpenData - Parliamentary Constituencies 2023 - Belfast East,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:950,OSNI OpenData - Parliamentary Constituencies 2023 - Belfast North,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:952,OSNI OpenData - Parliamentary Constituencies 2023 - Belfast West,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:953,OSNI OpenData - Parliamentary Constituencies 2023 - East Antrim,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:954,OSNI OpenData - Parliamentary Constituencies 2023 - East Londonderry,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:957,OSNI OpenData - Parliamentary Constituencies 2023 - Lagan Valley,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:958,OSNI OpenData - Parliamentary Constituencies 2023 - Mid Ulster,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:959,OSNI OpenData - Parliamentary Constituencies 2023 - Newry and Armagh,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:960,OSNI OpenData - Parliamentary Constituencies 2023 - North Down,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:961,OSNI OpenData - Parliamentary Constituencies 2023 - South Antrim,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:962,OSNI OpenData - Parliamentary Constituencies 2023 - South Down,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:964,OSNI OpenData - Parliamentary Constituencies 2023 - Upper Bann,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:965,OSNI OpenData - Parliamentary Constituencies 2023 - West Tyrone,Open Data NI,0.57,Parliamentary Constituencies 2023,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:956,OSNI OpenData - Parliamentary Constituencies 2023 - Foyle,Open Data NI,0.54,Parliamentary Constituencies 2023,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:963,OSNI OpenData - Parliamentary Constituencies 2023 - Strangford,Open Data NI,0.54,Parliamentary Constituencies 2023,0.400,escalate,"partial title overlap (jaccard 0.40) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:789,"Bedrock Geology 1:1,000,000 Ireland (ROI/NI) ITM",data.gov.ie,0.44,"Superficial Geology 1:250,000",0.300,escalate,"partial title overlap (jaccard 0.30) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:507,Wicklow County Council - Tree Preservation Orders,data.gov.ie,0.44,Tree Preservation Orders (DLR),0.429,escalate,"partial title overlap (jaccard 0.43) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:508,Wicklow County Council - Tree Preservation Orders Bray,data.gov.ie,0.44,Tree Preservation Orders (DLR),0.375,escalate,"partial title overlap (jaccard 0.38) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:978,Kilkenny Road Traffic Counts 2016,data.gov.ie,0.44,PSNI Road Traffic Collisions 2016,0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:800,Community-Scale Coastal Flood Extents - High-End Future Scenario,data.gov.ie,0.43,National Coastal Flood Extents 2021 ? Current Scenario,0.364,escalate,"partial title overlap (jaccard 0.36) in ""hold-low-confidence-variant-review"" — signals ambiguous"
already-on-site-review:801,Community-Scale Coastal Flood Extents - Mid-Range Future Scenario,data.gov.ie,0.43,National Coastal Flood Extents 2021 ? Current Scenario,0.364,escalate,"partial title overlap (jaccard 0.36) in ""hold-low-confidence-variant-review"" — signals ambiguous"
