id,title,provider,flagReason,fetchStatus,rightsStatus,currentProviderUrl,suggestedNextStep
already-on-site-review:2,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:14,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),Open Data NI,licence-unspecified,ok,manual-review-licence-unspecified,https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
already-on-site-review:127,Constituency_Boundaries_Ungeneralised_2017_-1490744149365444377,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:128,Constituency_Boundaries_Ungeneralised_8061739424892011697,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:131,Local Electoral Areas 2019 SDCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/local-electoral-areas-2019-sdcc,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
already-on-site-review:223,WGS_Electoral_Wards_Final_1984,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:231,Kildare Landscape Character 23-29,data.gov.ie,fetch-failed-http-403,http-403,manual-review-fetch-failed,https://data.gov.ie/dataset/f-users-planningtech-planning-gis-cdp-23-29-shapefiles-chapter-13-landscape-character-areas,"Provider URL returned http-403: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
already-on-site-review:416,Parking Fines 2025 SDCC,data.gov.ie,fetch-failed-http-404,http-404,manual-review-fetch-failed,https://data.gov.ie/dataset/parking-fines-2025-sdcc,"Provider URL returned http-404: re-check URL / find current landing page; re-fetch licence; if permanently gone, treat as unverified and hold."
already-on-site-review:514,Wicklow Landscape Category (CDP 2022 - 2028),data.gov.ie,licence-unspecified,ok,manual-review-licence-unspecified,https://data.gov.ie/dataset/wicklow-landscape-category-cdp-2022-2028,Licence not stated at source: contact provider or inspect dataset terms page to obtain an explicit licence before publishing.
already-on-site-review:521,LocalAuthorities_NationalStatutoryBoundaries_Ungeneralised_2024_-2978313920612481790,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:555,properties,EONI standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:945,Counties_RoI,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:946,merged_output,Local standalone source,local-source-no-provider-url,no-provider-url,blocked-local-source-rights-review,,Local standalone source: identify the upstream public provider + licence; do not mirror/convert until rights are established.
already-on-site-review:947,shard0,OSNI Fusion standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:948,shard1,OSNI Fusion standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:979,Electromagnetics,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:980,Magnetics,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:981,tellus-em-14khz-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:982,tellus-em-14khz-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:983,tellus-em-3khz-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:984,tellus-em-3khz-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:985,tellus-mag-rtp-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:986,tellus-mag-rtp-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:987,tellus-mag-rtp-tilt-merc,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
already-on-site-review:988,tellus-mag-rtp-tilt-rgba,Tellus airborne standalone,no-provider-url,no-provider-url,manual-review-no-provider-url,,Locate a public canonical provider URL and rights statement before mirroring; confirm the source is redistributable.
