batchId,provider,topic,proposedAction,proposedPlacement,count,readyCount,residualReviewCount,averageConfidence,sampleIds,recommendation
batch:data-gov-ie__source-data__local-authority-batch-review,data.gov.ie,source-data,local-authority-batch-review,Books/Tables/Sources source/download record,1025,475,550,59,medium-prep:5-local-authority-planning-property-open-data-layers:bottlenose-dolphin-survey-lower-river-shannon-csac-2010:00091; medium-prep:5-local-authority-planning-property-open-data-layers:bottlenose-dolphins-in-the-lower-river-shannon-sac-2022:00092; medium-prep:5-local-authority-planning-property-open-data-layers:habitat-and-management-data-collation-and-collection-on-callows-and-floodplain-grasslands:00109; medium-prep:5-local-authority-planning-property-open-data-layers:high-status-objective-catchment-areas-hsoca-grant-scheme-eligible-maybe-eligible-ineligible-are1:00110; medium-prep:5-local-authority-planning-property-open-data-layers:national-survey-of-limestone-pavement-and-associated-habitats-in-ireland:00114; medium-prep:5-local-authority-planning-property-open-data-layers:the-badger-and-habitat-survey-of-ireland-1989-1995:00127,Batch by council/provider; approve only non-duplicate and materially different layers.
batch:data-gov-ie__planning-property__local-authority-batch-review,data.gov.ie,planning-property,local-authority-batch-review,Books/Tables/Sources source/download record,217,124,93,59,medium-prep:5-local-authority-planning-property-open-data-layers:galway-transportation-and-planning-study-area:00106; medium-prep:5-local-authority-planning-property-open-data-layers:national-planning-applications:00113; medium-prep:5-local-authority-planning-property-open-data-layers:local-infrastructure-housing-activation-fund-lihaf1:00242; medium-prep:5-local-authority-planning-property-open-data-layers:development-plan-2022-2028-cherrywood-adapted-planning-scheme-dlr:00288; medium-prep:5-local-authority-planning-property-open-data-layers:gcc-planningpart5-view1:00289; medium-prep:5-local-authority-planning-property-open-data-layers:gcc-planningpart6-view3:00290,Batch by council/provider; approve only non-duplicate and materially different layers.
batch:data-gov-ie__transport-public-asset__transport-public-asset-batch-review,data.gov.ie,transport-public-asset,transport-public-asset-batch-review,Books/Tables/Sources source/download record,154,145,9,59,medium-prep:7-transport-roads-infrastructure-public-assets:national-public-transport-gazetteer-nptg:01693; medium-prep:7-transport-roads-infrastructure-public-assets:learner-permit-licences-current-on-31st-december-2016-by-county-and-gender:01701; medium-prep:7-transport-roads-infrastructure-public-assets:toa04-small-public-service-vehicles-by-type-and-county-of-licensing:01706; medium-prep:7-transport-roads-infrastructure-public-assets:national-road-traffic-counts:01741; medium-prep:7-transport-roads-infrastructure-public-assets:national-roads-travel-times:01742; medium-prep:7-transport-roads-infrastructure-public-assets:national-roads-variable-messaging-signs:01743,Lower-priority public asset/infrastructure batch; prefer stable layers over operational feeds.
batch:data-gov-ie__transport-public-asset__local-authority-batch-review,data.gov.ie,transport-public-asset,local-authority-batch-review,Books/Tables/Sources source/download record,139,51,88,59,medium-prep:5-local-authority-planning-property-open-data-layers:cycle-lanes-protected-rivervalley-hartstown-fcc2:00315; medium-prep:5-local-authority-planning-property-open-data-layers:broadband-connection-points-live2:00319; medium-prep:5-local-authority-planning-property-open-data-layers:dlr-road-traffic-special-speed-limit-bye-laws-2024:00321; medium-prep:5-local-authority-planning-property-open-data-layers:dlr-roads-schedule:00322; medium-prep:5-local-authority-planning-property-open-data-layers:road-schedule-sdcc1:00325; medium-prep:5-local-authority-planning-property-open-data-layers:road-strategy-cdp-2022-2028:00326,Batch by council/provider; approve only non-duplicate and materially different layers.
batch:tailte-osi-data-gov-ie__boundary__hold-special-format,Tailte/OSI/data.gov.ie,boundary,hold-special-format,Books/Tables/Sources source/download record,100,0,100,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-20191:00012; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-2019-generalised-20m1:00013; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-100m-national-statutory-boundaries-20151:00014; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-20m-national-statutory-boundaries-20151:00015; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-50m-national-statutory-boundaries-20151:00016; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-ungeneralised-national-statutory-boundaries-20151:00017,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:data-gov-ie__election__enrich-existing-election,data.gov.ie,election,enrich-existing-election,Elections/source provenance,92,91,1,61,medium-prep:2-irish-election-source-enrichment-data:general-election-2016-constituency-details:00304; medium-prep:2-irish-election-source-enrichment-data:general-election-2020-constituency-details:00305; medium-prep:2-irish-election-source-enrichment-data:34th-dail-general-election-29-november-2024-election-results:00968; medium-prep:2-irish-election-source-enrichment-data:candidate-details-for-general-election-2016:00969; medium-prep:2-irish-election-source-enrichment-data:candidate-details-for-general-election-2020:00970; medium-prep:2-irish-election-source-enrichment-data:first-preference-votes-of-the-general-election-of-february-2011:00971,Apply as election provenance/source enrichment only after exact election/person/party/constituency match review.
batch:data-gov-ie__source-data__hold-special-format,data.gov.ie,source-data,hold-special-format,Books/Tables/Sources source/download record,90,0,90,45,medium-prep:5-local-authority-planning-property-open-data-layers:electoral-areas-roscommon5:00140; medium-prep:5-local-authority-planning-property-open-data-layers:4dublin-pipeline-all:00205; medium-prep:5-local-authority-planning-property-open-data-layers:eia-location-point1:00221; medium-prep:5-local-authority-planning-property-open-data-layers:gzt-current-plan:00224; medium-prep:5-local-authority-planning-property-open-data-layers:gzt-expired-plan:00225; medium-prep:5-local-authority-planning-property-open-data-layers:margaritifera-sensitive-areas-map:00243,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:data-gov-ie__boundary__source-download-only,data.gov.ie,boundary,source-download-only,Books/Tables/Sources source/download record,61,56,5,60,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:planning-applications-where-consideration-time-has-been-extended-2002-2012:01025; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:causes-of-fires-attended-by-fire-brigades-in-2016:01321; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:estimate-of-housing-stock-for-each-year-ended-31-december-1991-to-date:01346; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:estimate-of-housing-stock-for-each-year-ended-31-december-1970-1991:01347; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:location-of-fires-attended-by-fire-brigades-in-2016:01498; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:dafm-2020-average-beef-and-dairy-herds-per-electoral-division:01718,Source/provenance record or enrichment candidate; no map conversion required by default.
batch:tailte-osi-data-gov-ie__source-data__hold-special-format,Tailte/OSI/data.gov.ie,source-data,hold-special-format,Books/Tables/Sources source/download record,54,0,54,45,medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-placenames-gazetteer1:00018; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:electoral-districts-national-placenames-gazetteer1:00047; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:counties-national-placenames-gazetteer1:00312; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:local-authorities-national-placenames-gazetteer1:00313; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:heritage-national-250k-map-of-ireland1:00340; medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:admin-areas-national-1m-map-of-ireland1:00906,Hold for size/format decision; likely IA/download-only or derived R2/CDN preview.
batch:open-data-ni__source-data__local-authority-batch-review,Open Data NI,source-data,local-authority-batch-review,Books/Tables/Sources source/download record,46,46,0,56,medium-prep:5-local-authority-planning-property-open-data-layers:applications-completed-by-county:01694; medium-prep:5-local-authority-planning-property-open-data-layers:applications-completed-by-county-2020-2021:01695; medium-prep:5-local-authority-planning-property-open-data-layers:belfast-young-people-who-think-that-local-facilities-are-shared-and-open-to-all:01707; medium-prep:5-local-authority-planning-property-open-data-layers:annual-end-of-year-rates-balances-by-district-council-and-sector:01927; medium-prep:5-local-authority-planning-property-open-data-layers:public-toilets:01931; medium-prep:5-local-authority-planning-property-open-data-layers:air-quality-monitoring-stations:01932,Batch by council/provider; approve only non-duplicate and materially different layers.
