id,sourceRowNumber,roiGroup,groupTitle,provider,organisation,category,title,cleanTitle,slugOrId,jurisdiction,topic,featureUnit,formats,isSpatial,isLargeOrSpecial,proposedAction,proposedPlacement,proposedRuntime,confidence,currentProviderUrl,waybackUrl,internetArchiveStatus,canonicalSourcePolicy,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,allMatchEvidence,resolvedBlockers,residualBlockers,residualBlockerCount,cleanedRecommendation,geographyRecommendation,comparabilityRecommendation,sourcePlacement,sourceProvenanceDraft,approvalState,publicationState,runtimeDesired,runtimeConversion
medium-prep:5-local-authority-planning-property-open-data-layers:bottlenose-dolphin-survey-lower-river-shannon-csac-2010:00091,92,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,"Department of Housing, Local Government and Heritage",spatial,"Bottlenose Dolphin Survey Lower River Shannon cSAC, 2010","Bottlenose Dolphin Survey Lower River Shannon cSAC, 2010",bottlenose-dolphin-survey-lower-river-shannon-csac-2010,Ireland / unspecified,source-data,features,SHP / ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/bottlenose-dolphin-survey-lower-river-shannon-csac-2010,https://web.archive.org/web/*/https://data.gov.ie/dataset/bottlenose-dolphin-survey-lower-river-shannon-csac-2010,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Department of Housing, Local Government and Heritage | Bottlenose Dolphin Survey Lower River Shannon cSAC, 2010 | formats: SHP / ZIP | current URL: https://data.gov.ie/dataset/bottlenose-dolphin-survey-lower-river-shannon-csac-2010 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:bottlenose-dolphins-in-the-lower-river-shannon-sac-2022:00092,93,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,"Department of Housing, Local Government and Heritage",spatial,"Bottlenose dolphins in the Lower River Shannon SAC, 2022","Bottlenose dolphins in the Lower River Shannon SAC, 2022",bottlenose-dolphins-in-the-lower-river-shannon-sac-2022,Ireland / unspecified,source-data,features,SHP / ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/bottlenose-dolphins-in-the-lower-river-shannon-sac-2022,https://web.archive.org/web/*/https://data.gov.ie/dataset/bottlenose-dolphins-in-the-lower-river-shannon-sac-2022,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Department of Housing, Local Government and Heritage | Bottlenose dolphins in the Lower River Shannon SAC, 2022 | formats: SHP / ZIP | current URL: https://data.gov.ie/dataset/bottlenose-dolphins-in-the-lower-river-shannon-sac-2022 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:boundaries6:00093,94,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Roscommon County Council,spatial,Boundaries,Boundaries,boundaries6,Ireland / unspecified,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/boundaries6,https://web.archive.org/web/*/https://data.gov.ie/dataset/boundaries6,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Roscommon County Council | Boundaries | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/boundaries6 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:5-local-authority-planning-property-open-data-layers:burren-national-park-boundary-map:00094,95,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,"Department of Housing, Local Government and Heritage",spatial,Burren National Park Boundary Map,Burren National Park Boundary Map,burren-national-park-boundary-map,Ireland / unspecified,boundary,features,ESRI REST|PDF|SHP / ZIP|WFS,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/burren-national-park-boundary-map,https://web.archive.org/web/*/https://data.gov.ie/dataset/burren-national-park-boundary-map,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Department of Housing, Local Government and Heritage | Burren National Park Boundary Map | formats: ESRI REST, PDF, SHP / ZIP, WFS | current URL: https://data.gov.ie/dataset/burren-national-park-boundary-map | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:cdp2022-development-boundaries:00095,96,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Cork County Council,spatial,CDP2022 Development Boundaries,CDP2022 Development Boundaries,cdp2022-development-boundaries,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|GEOJSON|HTML|KML,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/cdp2022-development-boundaries,https://web.archive.org/web/*/https://data.gov.ie/dataset/cdp2022-development-boundaries,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Cork County Council | CDP2022 Development Boundaries | formats: ARCGIS GEOSERVICES REST API, GEOJSON, HTML, KML | current URL: https://data.gov.ie/dataset/cdp2022-development-boundaries | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:connemara-national-park-boundary-map:00096,97,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,"Department of Housing, Local Government and Heritage",spatial,Connemara National Park Boundary Map,Connemara National Park Boundary Map,connemara-national-park-boundary-map,Ireland / unspecified,boundary,features,ESRI REST|PDF|SHP / ZIP|WFS,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/connemara-national-park-boundary-map,https://web.archive.org/web/*/https://data.gov.ie/dataset/connemara-national-park-boundary-map,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Department of Housing, Local Government and Heritage | Connemara National Park Boundary Map | formats: ESRI REST, PDF, SHP / ZIP, WFS | current URL: https://data.gov.ie/dataset/connemara-national-park-boundary-map | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:county-boundaryfcc2:00097,98,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Fingal County Council,spatial,County BoundaryFCC,County BoundaryFCC,county-boundaryfcc2,Ireland / unspecified,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/county-boundaryfcc2,https://web.archive.org/web/*/https://data.gov.ie/dataset/county-boundaryfcc2,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Fingal County Council | County BoundaryFCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/county-boundaryfcc2 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:county-development-plan-2025-2031-land-use-zoning-boundaries:00098,99,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Monaghan County Council,spatial,County Development Plan 2025-2031 - Land Use Zoning Boundaries,County Development Plan 2025-2031 - Land Use Zoning Boundaries,county-development-plan-2025-2031-land-use-zoning-boundaries,Ireland / unspecified,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/county-development-plan-2025-2031-land-use-zoning-boundaries,https://web.archive.org/web/*/https://data.gov.ie/dataset/county-development-plan-2025-2031-land-use-zoning-boundaries,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Monaghan County Council | County Development Plan 2025-2031 - Land Use Zoning Boundaries | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/county-development-plan-2025-2031-land-use-zoning-boundaries | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:county-development-plan-2025-2031-settlement-envelope-boundaries:00099,100,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Monaghan County Council,spatial,County Development Plan 2025-2031 - Settlement Envelope Boundaries,County Development Plan 2025-2031 - Settlement Envelope Boundaries,county-development-plan-2025-2031-settlement-envelope-boundaries,Ireland / unspecified,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/county-development-plan-2025-2031-settlement-envelope-boundaries,https://web.archive.org/web/*/https://data.gov.ie/dataset/county-development-plan-2025-2031-settlement-envelope-boundaries,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Monaghan County Council | County Development Plan 2025-2031 - Settlement Envelope Boundaries | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/county-development-plan-2025-2031-settlement-envelope-boundaries | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:5-local-authority-planning-property-open-data-layers:county-galway-settlement-boundaries-cdp-2022-2028:00100,101,5. Local authority planning/property/open-data layers,Local authority planning/property/open-data layers,data.gov.ie,Galway County Council,spatial,County Galway Settlement Boundaries CDP 2022 2028,County Galway Settlement Boundaries CDP 2022 2028,county-galway-settlement-boundaries-cdp-2022-2028,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,true,false,local-authority-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/county-galway-settlement-boundaries-cdp-2022-2028,https://web.archive.org/web/*/https://data.gov.ie/dataset/county-galway-settlement-boundaries-cdp-2022-2028,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | local-authority-duplication-and-topic-placement: batched by council/provider for approval | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Galway County Council | County Galway Settlement Boundaries CDP 2022 2028 | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/county-galway-settlement-boundaries-cdp-2022-2028 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
