id,sourceRowNumber,roiGroup,groupTitle,provider,organisation,category,title,cleanTitle,slugOrId,jurisdiction,topic,featureUnit,formats,isSpatial,isLargeOrSpecial,proposedAction,proposedPlacement,proposedRuntime,confidence,currentProviderUrl,waybackUrl,internetArchiveStatus,canonicalSourcePolicy,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,allMatchEvidence,resolvedBlockers,residualBlockers,residualBlockerCount,cleanedRecommendation,geographyRecommendation,comparabilityRecommendation,sourcePlacement,sourceProvenanceDraft,approvalState,publicationState,runtimeDesired,runtimeConversion
medium-prep:7-transport-roads-infrastructure-public-assets:national-public-transport-gazetteer-nptg:01692,1693,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,National Transport Authority,tabular,National Public Transport Gazetteer (NPTG),National Public Transport Gazetteer (NPTG),national-public-transport-gazetteer-nptg,Ireland / unspecified,transport-public-asset,road features,PDF|XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/national-public-transport-gazetteer-nptg,https://web.archive.org/web/*/https://data.gov.ie/dataset/national-public-transport-gazetteer-nptg,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"National Transport Authority | National Public Transport Gazetteer (NPTG) | formats: PDF, XML | current URL: https://data.gov.ie/dataset/national-public-transport-gazetteer-nptg | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:learner-permit-licences-current-on-31st-december-2016-by-county-and-gender:01700,1701,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,Road Safety Authority,tabular,Learner Permit Licences Current on 31st December 2016 by County and Gender,Learner Permit Licences Current on 31st December 2016 by County and Gender,learner-permit-licences-current-on-31st-december-2016-by-county-and-gender,Ireland / unspecified,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/learner-permit-licences-current-on-31st-december-2016-by-county-and-gender,https://web.archive.org/web/*/https://data.gov.ie/dataset/learner-permit-licences-current-on-31st-december-2016-by-county-and-gender,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Road Safety Authority | Learner Permit Licences Current on 31st December 2016 by County and Gender | formats: CSV | current URL: https://data.gov.ie/dataset/learner-permit-licences-current-on-31st-december-2016-by-county-and-gender | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:toa04-small-public-service-vehicles-by-type-and-county-of-licensing:01705,1706,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",data.gov.ie,National Transport Authority,tabular,TOA04 - Small public service vehicles by type and county of licensing,TOA04 - Small public service vehicles by type and county of licensing,toa04-small-public-service-vehicles-by-type-and-county-of-licensing,Ireland / unspecified,transport-public-asset,road features,CSV|JSON-STAT|PX|XLSX,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/toa04-small-public-service-vehicles-by-type-and-county-of-licensing,https://web.archive.org/web/*/https://data.gov.ie/dataset/toa04-small-public-service-vehicles-by-type-and-county-of-licensing,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"National Transport Authority | TOA04 - Small public service vehicles by type and county of licensing | formats: CSV, JSON-STAT, PX, XLSX | current URL: https://data.gov.ie/dataset/toa04-small-public-service-vehicles-by-type-and-county-of-licensing | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:a26-dualling-lidar:01727,1728,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,A26 Dualling LIDAR,A26 Dualling LIDAR,a26-dualling-lidar,Northern Ireland,transport-public-asset,road features,LAS,false,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://admin.opendatani.gov.uk/dataset/a26-dualling-lidar,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/a26-dualling-lidar,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned,duplicate-or-variant-review: no existing match candidate | large-or-special-format-review: size/format decision remains before runtime publication,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/source/table record unless there is clear interactive map or query use.,Department for Infrastructure - Roads | A26 Dualling LIDAR | formats: LAS | current URL: https://admin.opendatani.gov.uk/dataset/a26-dualling-lidar | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:7-transport-roads-infrastructure-public-assets:carriageway-details:01728,1729,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Carriageway Details,Carriageway Details,carriageway-details,Northern Ireland,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/carriageway-details,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/carriageway-details,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Department for Infrastructure - Roads | Carriageway Details | formats: CSV | current URL: https://admin.opendatani.gov.uk/dataset/carriageway-details | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:drainage-asset:01729,1730,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Drainage Assets,Drainage Assets,drainage-asset,Northern Ireland,transport-public-asset,road features,CSV.|XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/drainage-asset,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/drainage-asset,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Department for Infrastructure - Roads | Drainage Assets | formats: CSV., XML | current URL: https://admin.opendatani.gov.uk/dataset/drainage-asset | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:greater-beflast-area-park-and-ride-sites:01730,1731,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Greater Belfast Area Park and Ride Sites,Greater Belfast Area Park and Ride Sites,greater-beflast-area-park-and-ride-sites,Northern Ireland,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/greater-beflast-area-park-and-ride-sites,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/greater-beflast-area-park-and-ride-sites,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Department for Infrastructure - Roads | Greater Belfast Area Park and Ride Sites | formats: CSV | current URL: https://admin.opendatani.gov.uk/dataset/greater-beflast-area-park-and-ride-sites | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:highway-network:01731,1732,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Roads,tabular,Highway Network,Highway Network,highway-network,Northern Ireland,transport-public-asset,road features,CSV|ESRI MAP|XML,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/highway-network,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/highway-network,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,"Department for Infrastructure - Roads | Highway Network | formats: CSV, ESRI MAP, XML | current URL: https://admin.opendatani.gov.uk/dataset/highway-network | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:northern-ireland-goods-vehicle-operators-licence-records:01732,1733,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Department for Infrastructure - Transport Regulation Unit,tabular,Northern Ireland Goods Vehicle Operator's Licence Records,Northern Ireland Goods Vehicle Operator's Licence Records,northern-ireland-goods-vehicle-operators-licence-records,Northern Ireland,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/northern-ireland-goods-vehicle-operators-licence-records,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/northern-ireland-goods-vehicle-operators-licence-records,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Department for Infrastructure - Transport Regulation Unit | Northern Ireland Goods Vehicle Operator's Licence Records | formats: CSV | current URL: https://admin.opendatani.gov.uk/dataset/northern-ireland-goods-vehicle-operators-licence-records | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
medium-prep:7-transport-roads-infrastructure-public-assets:northern-ireland-road-safety-partnership-2011-2021:01733,1734,"7. Transport, roads, infrastructure, public assets","Transport, roads, infrastructure, public assets",Open Data NI,Police Service of Northern Ireland,tabular,Northern Ireland Road Safety Partnership 2011-2019,Northern Ireland Road Safety Partnership 2011-2019,northern-ireland-road-safety-partnership-2011-2021,Northern Ireland,transport-public-asset,road features,CSV,false,false,transport-public-asset-batch-review,Books/Tables/Sources source/download record,[object Object],60,https://admin.opendatani.gov.uk/dataset/northern-ireland-road-safety-partnership-2011-2021,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/northern-ireland-road-safety-partnership-2011-2021,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,public-asset-batch-placement: publication policy assigned | source-page-and-ia-viewport-decision: publication policy assigned,,0,Batch public-asset layers by provider/topic; add as lower-priority map/source bundles after higher-value geography/election/census work.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Browse/Books/Tables source record with IA hotlinked viewport/download.,Police Service of Northern Ireland | Northern Ireland Road Safety Partnership 2011-2019 | formats: CSV | current URL: https://admin.opendatani.gov.uk/dataset/northern-ireland-road-safety-partnership-2011-2021 | IA mirror/download link pending; do not expose local drive paths.,ready-for-approval,staged-only-not-published,metadata/source page,No runtime conversion required unless structured values are later extracted.
