rowNumber,title,provider,category,formats,decisionBucket,finalBucket,rightsStatus,licenseTitle,currentProviderUrl,bestMatchScore,roiGroup,targetIds,recommendedDecision,caveat
2,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,Local standalone source,standalone-spatial,GEOJSON,probable-variant-or-source-enrichment,hold-rights-provider-unresolved,blocked-local-source-rights-review,,,0.50,2. Irish election source/enrichment data,browse-feature:deas-2012; browse-map:wards-2022-final-recommendations; database-map:wards-2022-final-recommendations,Hold until a public provider URL and explicit open rights statement are available.,"Do not mirror, convert, or upload until a public provider URL and rights statement are identified."
3,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,Open Data NI,spatial,GEOJSON|SHP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/bcni2018,0.62,4. Open Data NI boundary and statistical-geography files,database-map:pc-2023; browse-map:pc-2023; database-map:osni-1m-parliamentary,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
4,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,Open Data NI,spatial,SHP,probable-variant-or-source-enrichment,ready-source-family-opw-hydro,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,0.64,4. Open Data NI boundary and statistical-geography files,database-map:rivers-coastal-flood-2018; browse-source:map-source:rivers-coastal-flood-2018; browse-map:rivers-coastal-flood-2018,Review as a separate OPW/hydro/flood source-family batch before approval.,"Scenario, model year, and flood/hydro subtype must be preserved; do not collapse into one generic water layer."
5,Department of Health trust boundaries,Open Data NI,spatial,GEOJSON|SHP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,0.60,4. Open Data NI boundary and statistical-geography files,browse-feature:hsct-2007; database-map:habitat-grassland-grouped; database-map:habitat-woodland-grouped,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
6,Mid Ulster Council District Electoral Areas,Open Data NI,spatial,CSV|GEOJSON|HTML|JSON|KML|SHP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/mid-ulster-council-district-electoral-areas2,0.62,4. Open Data NI boundary and statistical-geography files,browse-feature:deas-2012; browse-feature:ttwa-2007; browse-source:map-source:eds-roi-1970,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
9,OSNI Open Data - 50K Boundaries - District Electoral Areas (1993),Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-district-electoral-areas-1993,0.50,4. Open Data NI boundary and statistical-geography files,database-map:deas-1993; browse-source:map-source:wards-2022-final-recommendations; browse-source:map-source:deas-1993,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
10,OSNI Open Data - 50K Boundaries - Local Government Districts (1993),Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-local-government-districts-1993,0.50,4. Open Data NI boundary and statistical-geography files,database-map:lgd-2022-final-recommendations; browse-source:map-source:lgd-2022-final-recommendations; browse-map:lgd-2022-final-recommendations,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
11,OSNI Open Data - 50K Boundaries - Parliamentary Constituencies,Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-parliamentary-constituencies,0.40,4. Open Data NI boundary and statistical-geography files,database-map:eoni-polling-stations; database-map:wq-agricultural-critical-risk; database-map:osni-sixinch-edition-2,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
12,OSNI Open Data - 50K Boundaries - Townlands (2013),Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,hold-low-confidence-variant-review,hold-low-confidence-variant-review,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-townlands,0.40,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,database-map:eoni-polling-stations; database-map:wq-agricultural-critical-risk; database-map:osni-sixinch-edition-2,Hold. Evidence is too weak for public source/provenance enrichment without row-level confirmation.,"Low match confidence means this may be a neighbouring topic, variant, or false positive."
13,OSNI Open Data - 50K Boundaries - Wards (1993),Open Data NI,spatial,CSV|GEOJSON|KML|ZIP,probable-variant-or-source-enrichment,review-open-data-ni-boundary-statistical-family,standard-open-licence-confirmed,UK Open Government Licence (OGL),https://admin.opendatani.gov.uk/dataset/osni-open-data-50k-boundaries-wards-1993,0.50,4. Open Data NI boundary and statistical-geography files,database-map:wards-1993; database-map:wards-2022-final-recommendations; browse-source:map-source:wards-2022-final-recommendations,Review as Open Data NI boundary/statistical source-family evidence.,"Northern Ireland boundary, statistical, transport, and environmental rows should be split by family before applying."
